# Stocks - Hot Stocks | Hot Stocks Gainers

| Sym | BLUESTAR.NS | ESSDEE.NS | BBTC.NS | BANKBARO.NS | BSL.NS | ACE.NS | RAMCOIND.NS | UNITECH.NS | KRBL.NS | DENABANK.NS | AARVEEDE.NS | CENTUM.NS | VTL.NS | PNB.NS | RICOAUTO.NS | LITL.NS | ADANIENT.NS | GEOJITBN.NS | WSTCSTPA.NS | AARTIDRU.NS | MUKANDLT.NS | KOHINOOR.NS | CARBORUN.NS | CIPLA.NS | ITC.NS | VASCONEQ.NS | BAJAJHIN.NS | FCL.NS | KIRLOSEN.NS | GUJNREDV.NS | PIRPHYTO.NS | MICROSEC.NS | BROOKS.NS | IGL.NS | ILFSENGG.NS | ATFL.NS | SIMPLEXI.NS | BSLIMITE.NS | DAAWAT.NS | PURVA.NS | UNIPLY.NS | ZENSARTE.NS | KARURVYS.NS | ALLSEC.NS | UNIONBAN.NS | DLF.NS | PSB.NS | ALEMBICL.NS | DISHTV.NS | ZUARI.NS | MYSOREBA.NS | CORPBANK.NS | SONASTEE.NS | RCOM.NS | SELMCL.NS | ORCHIDCH.NS | PRICOL.NS | ICIL.NS | GMRINFRA.NS | GUJNRECO.NS | GODREJIN.NS | SHIVTEX.NS | UCOBANK.NS | BALRAMCH.NS | STERLINB.NS | UNITEDBN.NS | RELCAPIT.NS | BOMDYEIN.NS | KESORAMI.NS | SWANENER.NS | RELINFRA.NS | JSWSTEEL.NS | TINPLATE.NS | ANDHRABA.NS | DIAPOWER.NS | JMTAUTOL.NS | BANKINDI.NS | RAMANEWS.NS | CHENNPET.NS | NIITLTD.NS | IDBI.NS | ATLANTA.NS | HEXATRAD.NS | SFCL.NS | POWERGRI.NS | MERCK.NS | SANGHVIM.NS | GDL.NS | TORNTPOW.NS | DPL.NS | TCI.NS | HDIL.NS | JPASSOCI.NS | KPRMILL.NS | LYKALABS.NS | EIDPARRY.NS | RPOWER.NS | SUBROS.NS | ASHOKA.NS | ARVIND.NS |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Name | Blue Star Ltd | Ess Dee Aluminium Ltd | Bombay Burmah Trading Corp. Ltd | Bank of Baroda | Bsl Ltd | Action Construction Equip | Ramco Industries Ltd | Unitech Ltd | Krbl Ltd | Dena Bank | Aarvee Denims & Exports Limited | Centum Electronics | Vardhman Textiles Ltd | Punjab National Bank | Rico Auto Industries Ltd | Lanco Infratech Ltd. | Adani Enterprises Ltd | Geojit Bnp Paribas Financial Ser | West Coast Paper Mills Ltd | Aarti Drugs Ltd | Mukand Ltd. | Kohinoor Foods Ltd | Carborundum Universal Ltd | Cipla Ltd | Itc Ltd | Vascon Engineers Limited | Bajaj Hindusthan Ltd | Fineotex Chemical Ltd | Kirloskar Oil Eng Ltd | Gujarat Nre Coke Ltd | Piramal Phytocare Ltd | Microsec Fin Serv Ltd | Brooks Laboratories Limited | Indraprastha Gas Ltd | IL&Fs Engineering and Construction Compa | Agro Tech Foods Ltd | Simplex Infrastructures Ltd | Bs Limited | Lt Foods | Puravankara Projects Limi | Uniply Industries Limited | Zensar Technologies Ltd | Karur Vysya Bank Ltd | Allsec Technologies Ltd | Union Bank of India | Dlf Limited | Punjab & Sind Bank | Alembic Ltd | Dish TV India Limited | Zuari Agro Chemicals Limited | State Bank of Mysore | Corporation Bank | Sona Koyo Steering Systems Ltd | Reliance Communications Limited | Sel Manufacturing Company | Orchid Chemicals & Pharmaceutica | Pricol Ltd | Indo Count Industries Ltd | Gmr Infrastructure Limited | Gujarat Nre Coke Ltd | Godrej Industries Ltd | Shiva Texyarn Ltd | Uco Bank | Balrampur Chini Mills Ltd | Sterling Biotech Ltd | United Bank of India | Reliance Capital Ltd | Bombay Dyeing & MFG Co. Ltd | Kesoram Industries Ltd | Swan Energy Limited | Reliance Infrastructure Ltd | Jsw Steel Ltd | The Tinplate Company of India Lt | Andhra Bank | Diamond Power Infra Ltd | Jm Financial Limited | Bank of India | Rama Newsprint and Papers Ltd | Chennai Petroleum Corporation Lt | Niit Ltd | Idbi Bank Ltd | Atlanta Limited | Hexa Tradex Limited | Star Ferro and Cement Ltd | Power Grid Corporation of | Merck | Sanghi Polyesters Ltd. | Gateway Distriparks Ltd | Torrent Pharmaceuticals Ltd. | Dhunseri Petrochem Ltd | Transport Corporation of India L | Housing Development and I | Jaiprakash Associates Ltd | K.P.R. Mill Limited | Lyka Labs Ltd | Eid Parry India Ltd | Reliance Power Limited | Subros Ltd | Ashoka Buildcon Ltd | Arvind Ltd |
| Std Dev | +4.11 | +4.04 | +4.01 | +4.00 | +3.98 | +3.87 | +3.84 | +3.70 | +3.70 | +3.67 | +3.64 | +3.60 | +3.52 | +3.45 | +3.42 | +3.28 | +3.22 | +3.14 | +3.06 | +3.05 | +3.04 | +2.99 | +2.98 | +2.87 | +2.84 | +2.78 | +2.78 | +2.77 | +2.76 | +2.72 | +2.69 | +2.64 | +2.62 | +2.58 | +2.58 | +2.58 | +2.57 | +2.56 | +2.55 | +2.54 | +2.53 | +2.49 | +2.49 | +2.49 | +2.42 | +2.41 | +2.40 | +2.37 | +2.36 | +2.33 | +2.33 | +2.33 | +2.32 | +2.31 | +2.30 | +2.30 | +2.30 | +2.29 | +2.29 | +2.29 | +2.27 | +2.27 | +2.26 | +2.21 | +2.16 | +2.13 | +2.11 | +2.07 | +2.07 | +2.06 | +2.06 | +2.03 | +2.01 | +1.97 | +1.97 | +1.96 | +1.96 | +1.96 | +1.96 | +1.95 | +1.94 | +1.92 | +1.92 | +1.88 | +1.85 | +1.84 | +1.84 | +1.83 | +1.83 | +1.82 | +1.82 | +1.81 | +1.81 | +1.81 | +1.81 | +1.80 | +1.79 | +1.77 | +1.76 | +1.76 |
| Last | 372.000 | 360.800 | 603.650 | 168.600 | 53.400 | 51.450 | 98.050 | 7.400 | 193.200 | 44.300 | 73.550 | 863.600 | 810.850 | 151.100 | 55.850 | 3.700 | 88.650 | 51.000 | 75.950 | 746.950 | 38.450 | 46.950 | 180.550 | 711.050 | 315.950 | 22.450 | 14.350 | 37.150 | 298.100 | 2.600 | 58.600 | 132.300 | 95.550 | 478.650 | 86.450 | 616.500 | 382.150 | 31.700 | 172.950 | 70.150 | 137.550 | 951.950 | 481.600 | 37.350 | 164.100 | 109.700 | 41.450 | 50.900 | 115.550 | 199.100 | 481.300 | 49.950 | 68.600 | 68.400 | 3.850 | 64.900 | 38.800 | 827.500 | 14.300 | 3.850 | 390.850 | 55.200 | 51.050 | 49.800 | 6.250 | 23.550 | 391.200 | 83.750 | 97.550 | 61.600 | 411.500 | 850.150 | 71.100 | 71.450 | 40.850 | 110.050 | 157.250 | 14.550 | 206.950 | 81.000 | 62.000 | 50.900 | 19.950 | 159.550 | 142.400 | 794.950 | 344.500 | 374.050 | 145.000 | 79.150 | 268.300 | 83.850 | 9.600 | 767.800 | 93.700 | 149.150 | 42.350 | 95.650 | 189.600 | 320.550 |
| Change | +30.550 | +60.100 | +79.550 | +15.400 | +8.000 | +5.900 | +12.850 | +1.150 | +16.700 | +1.750 | +12.250 | +82.150 | +48.000 | +13.450 | +8.050 | +0.400 | +6.900 | +5.700 | +6.500 | +54.650 | +2.150 | +2.750 | +8.550 | +31.500 | +11.950 | +3.700 | +0.950 | +3.500 | +14.650 | +0.300 | +8.150 | +14.200 | +13.900 | +16.700 | +5.900 | +19.400 | +16.050 | +2.950 | +6.000 | +3.900 | +6.550 | +86.200 | +14.100 | +3.350 | +10.950 | +8.150 | +1.100 | +5.000 | +7.000 | +9.000 | +17.100 | +1.050 | +4.400 | +3.350 | +0.500 | +3.550 | +3.450 | +44.550 | +0.900 | +0.200 | +18.100 | +3.550 | +2.350 | +2.200 | +0.250 | +0.550 | +16.350 | +5.950 | +7.850 | +1.100 | +22.250 | +37.100 | +5.050 | +2.400 | +1.800 | +5.200 | +7.500 | +1.550 | +15.250 | +7.350 | +2.800 | +2.150 | +0.600 | +4.200 | +2.400 | +12.250 | +8.000 | +18.300 | +4.450 | +3.600 | +9.800 | +3.850 | +0.750 | +38.950 | +7.650 | +6.000 | +1.550 | +7.950 | +5.050 | +16.050 |
| Percent | +8.95% | +19.99% | +15.18% | +10.05% | +17.62% | +12.95% | +15.08% | +18.40% | +9.46% | +4.11% | +19.98% | +10.51% | +6.29% | +9.77% | +16.84% | +12.12% | +8.44% | +12.58% | +9.36% | +7.89% | +5.92% | +6.22% | +4.97% | +4.64% | +3.93% | +19.73% | +7.09% | +10.40% | +5.17% | +13.04% | +16.15% | +12.02% | +17.02% | +3.62% | +7.32% | +3.25% | +4.38% | +10.26% | +3.59% | +5.89% | +5.00% | +9.96% | +3.02% | +9.85% | +7.15% | +8.03% | +2.73% | +10.89% | +6.45% | +4.73% | +3.68% | +2.15% | +6.85% | +5.15% | +14.93% | +5.79% | +9.76% | +5.69% | +6.72% | +5.48% | +4.86% | +6.87% | +4.83% | +4.62% | +4.17% | +2.39% | +4.36% | +7.65% | +8.75% | +1.82% | +5.72% | +4.56% | +7.65% | +3.48% | +4.61% | +4.96% | +5.01% | +11.92% | +7.96% | +9.98% | +4.73% | +4.41% | +3.10% | +2.70% | +1.71% | +1.57% | +2.38% | +5.14% | +3.17% | +4.77% | +3.79% | +4.81% | +8.47% | +5.34% | +8.89% | +4.19% | +3.80% | +9.06% | +2.74% | +5.27% |
| High | 394.400 | 360.800 | 616.200 | 170.000 | 54.200 | 52.300 | 101.800 | 7.500 | 198.350 | 44.700 | 73.550 | 883.500 | 815.700 | 155.000 | 56.700 | 3.850 | 90.400 | 53.400 | 77.200 | 768.000 | 38.700 | 47.800 | 182.450 | 714.700 | 317.850 | 22.500 | 14.600 | 37.850 | 302.000 | 2.750 | 60.500 | 138.650 | 97.900 | 482.250 | 89.250 | 624.750 | 383.900 | 32.000 | 176.200 | 71.400 | 137.550 | 974.900 | 485.000 | 37.400 | 165.500 | 110.950 | 46.800 | 51.600 | 116.500 | 201.300 | 499.700 | 50.150 | 69.050 | 69.000 | 3.950 | 65.400 | 39.400 | 837.000 | 14.700 | 4.050 | 393.450 | 56.000 | 51.350 | 50.250 | 6.500 | 23.700 | 394.250 | 85.350 | 98.300 | 62.450 | 415.800 | 855.000 | 71.550 | 72.200 | 41.650 | 110.050 | 159.950 | 14.950 | 210.000 | 81.000 | 62.300 | 53.000 | 20.900 | 161.000 | 143.250 | 798.000 | 345.500 | 376.000 | 148.400 | 80.500 | 274.000 | 84.550 | 9.900 | 874.000 | 94.750 | 150.000 | 42.500 | 100.400 | 191.800 | 323.800 |
| Low | 344.000 | 301.750 | 527.000 | 153.450 | 45.600 | 45.250 | 85.350 | 6.250 | 175.500 | 41.850 | 61.750 | 782.500 | 760.800 | 137.550 | 48.550 | 3.350 | 81.400 | 45.250 | 69.500 | 691.250 | 36.500 | 44.550 | 170.250 | 685.100 | 300.000 | 19.100 | 13.400 | 33.750 | 284.850 | 2.300 | 51.900 | 119.250 | 80.600 | 461.500 | 80.600 | 588.000 | 371.000 | 28.800 | 164.350 | 66.600 | 124.450 | 873.200 | 465.000 | 34.950 | 153.900 | 102.000 | 40.100 | 46.050 | 108.700 | 189.100 | 460.000 | 49.050 | 64.050 | 65.150 | 3.350 | 61.400 | 34.950 | 780.100 | 13.400 | 3.600 | 373.050 | 50.500 | 48.800 | 47.650 | 5.650 | 22.950 | 374.500 | 77.650 | 89.300 | 60.250 | 391.000 | 802.400 | 66.100 | 69.000 | 39.150 | 104.850 | 150.000 | 12.200 | 191.200 | 72.100 | 59.300 | 48.850 | 19.150 | 156.900 | 139.900 | 772.150 | 338.950 | 359.300 | 141.650 | 75.900 | 261.850 | 80.200 | 8.750 | 714.250 | 86.600 | 143.000 | 40.750 | 83.650 | 182.500 | 303.250 |
| Time | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 |
| Links |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
