# Household Cleaning Product Ingredients (No Strength Listed)

| Product Type | Ingredient Name | CAS No. | Functional Role | Notes |
| --- | --- | --- | --- | --- |
| Glass cleaner | Ammonia | 7664-41-7 | Cleaning agent | Typical in streak-free formulas |
| Glass cleaner | Isopropyl alcohol | 67-63-0 | Solvent | Evaporates quickly |
| Dishwashing liquid | Sodium laureth sulfate | 9004-82-4 | Surfactant | Foaming detergent |
| Dishwashing liquid | Cocamidopropyl betaine | 61789-40-0 | Surfactant | Mildness/foam booster |
| Laundry detergent | Sodium carbonate | 497-19-8 | Builder | Water softening |
| Laundry detergent | Protease enzymes | — | Enzyme | Stain removal (protein) |
| Bathroom cleaner | Lactic acid | 50-21-5 | Descaler | Removes limescale |
| Bleach (chlorine) | Sodium hypochlorite | 7681-52-9 | Oxidizer | Disinfection |
| Drain opener | Sodium hydroxide | 1310-73-2 | Base | Dissolves organic clogs |
