# Major League Baseball Teams and Captains (Selected Seasons)

| League | Team | Season | Captain (On-field leader) | Notes |
| --- | --- | --- | --- | --- |
| MLB | New York Yankees | 1936 | Lou Gehrig | Long-time Yankees captain |
| MLB | New York Yankees | 1947 | Joe DiMaggio | Named captain after WWII |
| MLB | San Francisco Giants | 1961 | Willie Mays | Team captain in early SF era |
| MLB | San Francisco Giants | 1964 | Willie Mays | Continued captaincy |
| MLB | Chicago Cubs | 1969 | Ron Santo | Clubhouse/on-field leader |
| MLB | Cincinnati Reds | 1973 | Pete Rose | Served as team captain |
| MLB | Houston Astros | 1985 | Jose Cruz | Veteran leader named captain |
| MLB | St. Louis Cardinals | 2003 | Jim Edmonds | Named captain during early 2000s |
| MLB | New York Yankees | 2005 | Derek Jeter | Named team captain in 2003 |
| MLB | Kansas City Royals | 2014 | Alex Gordon | Served as team captain |
| MLB | Miami Marlins | 2018 | Martin Prado | Veteran captain role |
| MLB | Arizona Diamondbacks | 2020 | David Peralta | Named team captain |
