# Zoonotic and Vector-Related Infectious Hazards  Animal Vector Source and Human Exposure Route

| Category | Disease | Agent type | Reservoir / vector | Human exposure route | High-risk activities / occupations | Notable risk outcome |
|---|---|---|---|---|---|---|
| Zoonosis (bite) | Rabies | Virus | Dogs, bats, raccoons | Bite or scratch; saliva to mucosa | Animal handling, spelunking, unvaccinated dog contact | Near-100% fatal encephalitis if untreated |
| Zoonosis (aerosol/animal products) | Q fever | Bacteria (*Coxiella burnetii*) | Goats, sheep, cattle | Inhalation of contaminated birth products/dust | Farm work, abattoirs, veterinary practice | Pneumonia/hepatitis; chronic endocarditis in some |
| Zoonosis (rodent excreta aerosol) | Hantavirus pulmonary syndrome | Virus | Rodents (deer mouse etc.) | Inhalation of aerosolized urine/feces | Cleaning sheds, cabins; pest infestation | Severe pulmonary failure; high case fatality |
| Zoonosis (tick-borne) | Lyme disease | Bacteria (*Borrelia* spp.) | Ixodes ticks; deer/rodent cycle | Tick bite | Hiking, forestry, outdoor work | Arthritis, neurologic or cardiac involvement |
| Zoonosis (bird contact) | Psittacosis | Bacteria (*Chlamydia psittaci*) | Parrots, pigeons, poultry | Inhalation of dried bird droppings/secretions | Bird owners, poultry workers, pet shops | Atypical pneumonia; systemic illness |
| Zoonosis (soil/animal waste) | Toxocariasis | Helminth (roundworm) | Dogs/cats | Ingestion of eggs from contaminated soil | Children playing in soil/sandboxes | Ocular/visceral larva migrans |
| Vector-borne (mosquito) | West Nile fever | Virus | Birds; *Culex* mosquitoes | Mosquito bite | Outdoor dusk exposure; poor vector control | Neuroinvasive disease in a minority |
| Vector-borne (sand fly) | Leishmaniasis | Protozoa (*Leishmania*) | Sand flies; animal reservoirs in some regions | Sand fly bite | Night outdoor work/travel | Cutaneous ulcers; visceral disease can be fatal |
| Vector-borne (tsetse) | African trypanosomiasis | Protozoa (*Trypanosoma brucei*) | Tsetse fly | Bite of infected fly | Riverine/forest travel, rural work | Progressive neurologic disease if untreated |
| Foodborne zoonosis | Trichinellosis | Helminth (*Trichinella* spp.) | Pigs, wild boar, bear | Eating undercooked meat containing larvae | Hunting, home curing/sausages | Myositis; potentially severe systemic disease |
| Direct animal contact | Brucellosis | Bacteria (*Brucella* spp.) | Cattle, goats, sheep | Contact with tissues/fluids; unpasteurized dairy | Farming, slaughterhouses; raw milk consumption | Chronic fever, osteoarticular complications |
| Freshwater exposure with animal urine | Leptospirosis | Bacteria (*Leptospira* spp.) | Rodents, dogs, livestock | Skin/mucosa contact with contaminated water | Flood response, agriculture, sewer work | Weil’s disease: jaundice/renal failure |
