# Olympus Digital SLR camera bodies (E-System) – model overview

| Olympus DSLR model | Series/family | Sensor format | Release year | Mount | Notable feature |
|---|---|---|---|---|---|
| Olympus E-1 | E-System | Four Thirds | 2003 | Four Thirds | First Olympus professional DSLR |
| Olympus E-300 | E-System | Four Thirds | 2004 | Four Thirds | Compact DSLR body design |
| Olympus E-500 | E-System | Four Thirds | 2005 | Four Thirds | Entry-level interchangeable-lens DSLR |
| Olympus E-330 | E-System | Four Thirds | 2006 | Four Thirds | Early live-view implementation |
| Olympus E-400 | E-System | Four Thirds | 2006 | Four Thirds | Very compact DSLR body |
| Olympus E-410 | E-System | Four Thirds | 2007 | Four Thirds | Live View; small/light body |
| Olympus E-510 | E-System | Four Thirds | 2007 | Four Thirds | In-body image stabilization |
| Olympus E-3 | E-System | Four Thirds | 2007 | Four Thirds | Weather-sealed; pro body |
| Olympus E-30 | E-System | Four Thirds | 2008 | Four Thirds | Advanced enthusiast DSLR |
| Olympus E-620 | E-System | Four Thirds | 2009 | Four Thirds | Articulated LCD; compact body |
