# Notable Scientists Behind Major Discoveries (People-Centered View)

| Scientist | Discovery Associated | Role | Institution at Time | Exact Year | Award/Recognition |
| --- | --- | --- | --- | --- | --- |
| Marie Curie | Radioactivity research advances | Experimental discovery | Sorbonne/Paris labs | 1898 | Nobel Prize (Physics/Chemistry) |
| Albert Einstein | General relativity | Theory | Prussian Academy | 1915 | Nobel Prize (Physics, for photoelectric effect) |
| Rosalind Franklin | DNA structure evidence | X-ray crystallography | King's College London | 1952 | Posthumous recognition |
| James Watson | DNA double helix model | Model building | Cambridge University | 1953 | Nobel Prize (Physiology or Medicine) |
| Francis Crick | DNA double helix model | Theory/model | Cambridge University | 1953 | Nobel Prize (Physiology or Medicine) |
| Alan Turing | Foundations of computation | Theory | University of Manchester | 1936 | Turing Award namesake |
| Jennifer Doudna | CRISPR-Cas9 editing | Method development | UC Berkeley | 2012 | Nobel Prize (Chemistry) |
| Emmanuelle Charpentier | CRISPR-Cas9 editing | Method development | Umeå University/Max Planck | 2012 | Nobel Prize (Chemistry) |
| Peter Higgs | Higgs mechanism | Theory | University of Edinburgh | 1964 | Nobel Prize (Physics) |
| Donna Strickland | Chirped pulse amplification | Laser physics | Univ. of Rochester | 1985 | Nobel Prize (Physics) |
| Tu Youyou | Artemisinin antimalarial | Drug discovery | China Academy of Chinese Medical Sciences | 1972 | Nobel Prize (Physiology or Medicine) |
