# September 18, 2007 Seattle Mariners at Oakland Athletics Box Score and Play by Play | Baseball-Reference.com

| Batting | Ichiro Suzuki CF | Adrian Beltre 3B | Raul Ibanez LF | Adam Jones LF | Jose Guillen RF | Ben Broussard 1B | Jose Vidro DH | Kenji Johjima C | Jose Lopez 2B | Yuniesky Betancourt SS | Yuniesky Betancourt SS | Jeff Weaver P | Eric O'Flaherty P | Sean Green P | Brandon Morrow P | George Sherrill P | Team Totals |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| AB | 3 | 5 | 4 | 0 | 2 | 4 | 4 | 4 | 3 | 3 |  |  |  |  |  |  | 32 |
| R | 2 | 1 | 1 | 0 | 0 | 0 | 1 | 2 | 1 | 0 |  |  |  |  |  |  | 8 |
| H | 1 | 1 | 2 | 0 | 0 | 0 | 1 | 2 | 1 | 0 |  |  |  |  |  |  | 8 |
| RBI | 2 | 1 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  |  |  |  |  | 8 |
| BB | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  |  |  |  |  |  | 3 |
| SO | 0 | 3 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 |  |  |  |  |  |  | 6 |
| PA | 5 | 5 | 4 | 0 | 4 | 4 | 4 | 4 | 4 | 4 |  |  |  |  |  |  | 38 |
| BA | .352 | .278 | .286 | .277 | .283 | .272 | .318 | .290 | .257 | .286 |  |  |  |  |  |  | .250 |
| OBP | .399 | .325 | .345 | .333 | .350 | .326 | .386 | .325 | .288 | .305 |  |  |  |  |  |  | .333 |
| SLG | .435 | .495 | .472 | .447 | .444 | .401 | .403 | .442 | .357 | .417 |  |  |  |  |  |  | .438 |
| OPS | .834 | .821 | .817 | .780 | .794 | .727 | .789 | .767 | .645 | .722 |  |  |  |  |  |  | .771 |
| Pit | 21 | 22 | 14 |  | 19 | 11 | 18 | 12 | 20 | 12 |  |  |  |  |  |  | 149 |
| Str | 10 | 17 | 9 |  | 11 | 5 | 13 | 8 | 11 | 9 |  |  |  |  |  |  | 93 |
| WPA | 0.116 | 0.009 | 0.204 | 0.000 | 0.008 | -0.089 | -0.005 | 0.072 | 0.099 | -0.068 |  |  |  |  |  |  | 0.346 |
| aLI | 0.93 | 0.81 | 0.86 | 0.00 | 0.38 | 0.46 | 0.47 | 0.51 | 0.69 | 0.94 |  |  |  |  |  |  | 0.68 |
| WPA+ | 0.129 | 0.091 | 0.222 | 0.000 | 0.022 | 0.000 | 0.027 | 0.074 | 0.101 | 0.000 |  |  |  |  |  |  | 0.666 |
| WPA- | -0.013 | -0.082 | -0.019 | 0.000 | -0.014 | -0.089 | -0.032 | -0.002 | -0.002 | -0.068 |  |  |  |  |  |  | -0.321 |
| RE24 | 1.5 | -0.5 | 3.8 | 0.0 | 0.4 | -2.0 | -0.4 | 0.7 | 1.1 | -1.3 |  |  |  |  |  |  | 3.3 |
| PO | 3 | 1 | 2 | 0 | 3 | 5 |  | 8 | 2 | 2 |  | 1 | 0 | 0 | 0 | 0 | 27 |
| A | 0 | 2 | 0 | 0 | 0 | 1 |  | 0 | 2 | 2 |  | 0 | 0 | 0 | 0 | 0 | 7 |
|  | 2B | 2B | HR,2B |  | HBP | 2·GDP |  |  | SH | SH |  |  |  |  |  |  |  |
