# PGA Free Live Odds and Scores - Sports News Live Odds PGA Odds PGA Scores PGA Sports News Sports Events - Odds and News Odds & News

| Pos | 1 | T2 | T2 | T2 | 5 | T6 | T6 | T8 | T8 | T8 | T8 | T12 | T12 | T14 | T14 | T14 | T14 | T14 | T19 | T19 | T19 | T22 | T22 | T22 | T22 | T26 | T26 | T26 | T26 | T30 | T30 | T30 | T30 | T30 | T30 | T30 | T30 | T30 | T39 | T39 | T39 | T42 | T42 | T42 | T42 | T42 | T42 | T42 | T49 | T49 | T49 | T49 | T49 | T54 | T54 | T54 | T54 | T54 | T54 | T54 | T54 | T54 | T54 | T64 | T64 | T66 | T66 | T66 | T66 | T66 | T66 | 72 | T73 | T73 | 75 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Player | Mark Wilson | Robert Garrigus | John Mallinger | Johnson Wagner | Jeff Maggert | David Toms | John Senden | Bobby Gates | Brandt Snedeker | Ben Crane | Zach Johnson | Jason Dufner | Brendon de Jonge | Pat Perez | Rory Sabbatini | Sang-Moon Bae | Gary Christian | Martin Laird | Steve Marino | Harris English | Camilo Villegas | Josh Teater | Bob Estes | Matt Kuchar | Stephen Ames | Jarrod Lyle | James Driscoll | Paul Goydos | Brendon Todd | Cameron Tringale | Brett Quigley | Chris DiMarco | Miguel Angel Carballo | Bud Cauley | Kevin Chappell | Kevin Na | William McGirt | Jason Bohn | Lee Janzen | Ken Duke | Chez Reavie | Kyle Reifers | Carl Pettersson | Brian Gay | Roberto Castro | Erik Compton | Chris Kirk | Ryan Moore | George McNeill | Phil Mickelson | Joe Durant | Charles Howell III | Ricky Barnes | Blake Adams | Bo Van Pelt | Michael Thompson | Jimmy Walker | Brian Harman | Troy Kelly | Justin Leonard | Jeff Overton | Ted Potter, Jr. | Charlie Wi | Spencer Levin | Bill Haas | Jamie Lovemark | Danny Lee | Kevin Kisner | Nick O'Hern | Brendan Steele | John Rollins | Tommy Biershenk | Marco Dawson | Kevin Sutherland | Charlie Beljan |
| Money Won | 1,008,000 | 418,133 | 418,133 | 418,133 | 224,000 | 194,600 | 194,600 | 156,800 | 156,800 | 156,800 | 156,800 | 123,200 | 123,200 | 95,200 | 95,200 | 95,200 | 95,200 | 95,200 | 72,800 | 72,800 | 72,800 | 56,000 | 56,000 | 56,000 | 56,000 | 42,280 | 42,280 | 42,280 | 42,280 | 31,858 | 31,858 | 31,858 | 31,858 | 31,858 | 31,858 | 31,858 | 31,858 | 31,858 | 24,080 | 24,080 | 24,080 | 18,512 | 18,512 | 18,512 | 18,512 | 18,512 | 18,512 | 18,512 | 13,820 | 13,820 | 13,820 | 13,820 | 13,820 | 12,488 | 12,488 | 12,488 | 12,488 | 12,488 | 12,488 | 12,488 | 12,488 | 12,488 | 12,488 | 11,816 | 11,816 | 11,368 | 11,368 | 11,368 | 11,368 | 11,368 | 11,368 | 10,976 | 10,808 | 10,808 | 10,640 |
| 1 | 66 | 73 | 67 | 68 | 69 | 63 | 69 | 68 | 64 | 65 | 68 | 71 | 65 | 67 | 68 | 64 | 66 | 66 | 65 | 69 | 63 | 71 | 64 | 71 | 66 | 68 | 69 | 70 | 66 | 68 | 67 | 68 | 69 | 66 | 65 | 66 | 67 | 68 | 69 | 67 | 70 | 69 | 71 | 69 | 68 | 67 | 68 | 72 | 73 | 74 | 68 | 69 | 68 | 66 | 67 | 71 | 70 | 69 | 71 | 69 | 67 | 64 | 71 | 68 | 71 | 68 | 69 | 68 | 68 | 70 | 68 | 68 | 72 | 69 | 71 |
| 2 | 62 | 64 | 65 | 67 | 65 | 65 | 64 | 63 | 68 | 63 | 65 | 63 | 71 | 67 | 68 | 69 | 68 | 69 | 68 | 62 | 68 | 66 | 70 | 67 | 67 | 67 | 70 | 69 | 67 | 64 | 68 | 64 | 66 | 67 | 68 | 68 | 71 | 70 | 66 | 65 | 70 | 69 | 70 | 68 | 70 | 69 | 63 | 61 | 65 | 69 | 71 | 70 | 69 | 71 | 71 | 67 | 66 | 69 | 70 | 68 | 70 | 73 | 71 | 67 | 69 | 68 | 69 | 73 | 70 | 69 | 68 | 64 | 70 | 68 | 69 |
| 3 | 67 | 61 | 68 | 66 | 69 | 72 | 68 | 71 | 66 | 70 | 65 | 68 | 70 | 74 | 68 | 72 | 73 | 67 | 68 | 73 | 72 | 67 | 71 | 70 | 70 | 67 | 68 | 69 | 69 | 71 | 70 | 72 | 70 | 71 | 72 | 73 | 68 | 71 | 72 | 74 | 70 | 67 | 67 | 72 | 70 | 72 | 74 | 75 | 71 | 66 | 70 | 68 | 72 | 72 | 69 | 69 | 71 | 69 | 67 | 70 | 73 | 73 | 68 | 72 | 70 | 73 | 69 | 68 | 71 | 70 | 72 | 72 | 68 | 73 | 69 |
| 4 | 69 | 68 | 66 | 65 | 64 | 68 | 67 | 67 | 71 | 71 | 71 | 68 | 64 | 63 | 67 | 66 | 64 | 69 | 71 | 68 | 69 | 69 | 68 | 65 | 70 | 72 | 67 | 66 | 72 | 72 | 70 | 71 | 70 | 71 | 70 | 68 | 69 | 66 | 69 | 70 | 66 | 72 | 69 | 68 | 69 | 69 | 72 | 69 | 69 | 69 | 69 | 71 | 69 | 70 | 72 | 72 | 72 | 72 | 71 | 72 | 69 | 69 | 69 | 73 | 70 | 72 | 74 | 72 | 72 | 72 | 73 | 78 | 73 | 73 | 75 |
| Today | -3 | -4 | -6 | -7 | -8 | -4 | -5 | -5 | -1 | -1 | -1 | -4 | -8 | -9 | -5 | -6 | -8 | -3 | -1 | -4 | -3 | -3 | -4 | -7 | -2 | E | -5 | -6 | E | E | -2 | -1 | -2 | -1 | -2 | -4 | -3 | -6 | -3 | -2 | -6 | E | -3 | -4 | -3 | -3 | E | -3 | -3 | -3 | -3 | -1 | -3 | -2 | E | E | E | E | -1 | E | -3 | -3 | -3 | +1 | -2 | E | +2 | E | E | E | +1 | +6 | +1 | +1 | +3 |
| Score | -24 | -22 | -22 | -22 | -21 | -20 | -20 | -19 | -19 | -19 | -19 | -18 | -18 | -17 | -17 | -17 | -17 | -17 | -16 | -16 | -16 | -15 | -15 | -15 | -15 | -14 | -14 | -14 | -14 | -13 | -13 | -13 | -13 | -13 | -13 | -13 | -13 | -13 | -12 | -12 | -12 | -11 | -11 | -11 | -11 | -11 | -11 | -11 | -10 | -10 | -10 | -10 | -10 | -9 | -9 | -9 | -9 | -9 | -9 | -9 | -9 | -9 | -9 | -8 | -8 | -7 | -7 | -7 | -7 | -7 | -7 | -6 | -5 | -5 | -4 |
