# Common Dog Breeds by Group (Breed-per-row quick scan)

| Group | Breed | Typical Adult Weight (kg) | Energy Level | Common Coat Type |
|---|---|---:|---|---|
| Sporting | Labrador Retriever | 25–36 | High | Short, double |
| Sporting | Golden Retriever | 25–34 | High | Medium, double |
| Sporting | English Springer Spaniel | 18–25 | High | Medium |
| Sporting | German Shorthaired Pointer | 20–32 | High | Short |
| Hound | Beagle | 9–11 | Medium | Short |
| Hound | Greyhound | 27–40 | Medium | Short |
| Hound | Dachshund | 7–15 | Medium | Short/Long/Wire |
| Working | Boxer | 25–32 | High | Short |
| Working | Rottweiler | 35–60 | Medium-High | Short, double |
| Working | Siberian Husky | 16–27 | High | Medium, double |
| Terrier | West Highland White Terrier | 7–10 | Medium-High | Harsh/wiry |
| Terrier | Airedale Terrier | 18–29 | High | Wiry |
| Toy | Pug | 6–8 | Medium | Short |
| Toy | Chihuahua | 1.5–3 | Medium | Short/Long |
| Non-Sporting | Poodle (Standard) | 20–32 | High | Curly |
| Herding | Border Collie | 14–20 | Very High | Medium |
