# Asia + Europe Capitals and Currencies (Combined Continents in One Layout)

| Continent | Country | Capital | Currency |
|---|---|---|---|
| Asia | Japan | Tokyo | Japanese yen |
| Asia | India | New Delhi | Indian rupee |
| Asia | Thailand | Bangkok | Thai baht |
| Asia | Saudi Arabia | Riyadh | Saudi riyal |
| Asia | Vietnam | Hanoi | Vietnamese dong |
| Asia | United Arab Emirates | Abu Dhabi | UAE dirham |
| Europe | France | Paris | Euro |
| Europe | Germany | Berlin | Euro |
| Europe | United Kingdom | London | Pound sterling |
| Europe | Switzerland | Bern | Swiss franc |
| Europe | Norway | Oslo | Norwegian krone |
| Europe | Poland | Warsaw | Polish zloty |
