# 1993-94 Washington Capitals - NHL team profile page from WhatifSports

| Name | Shawn Anderson | Craig Berube | Peter Bondra | Randy Burridge | Enrico Ciccone | Sylvain Cote | Brian Curran | Kevin Hatcher | Dale Hunter | Al Iafrate | Calle Johansson | Keith Jones | Dmitri Khristich | Steve Konowalchuk | Todd Krygier | Alan May | Kelly Miller | Pat Peake | Michal Pivonka | Dave Poulin | Mike Ridley | John Slaney |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| POS | D | LW | RW | LW | D | D | D | D | C | D | D | RW | LW | C | LW | RW | LW | C | C | C | C | D |
| GP | 50 | 84 | 69 | 78 | 46 | 84 | 26 | 72 | 52 | 67 | 84 | 68 | 83 | 62 | 66 | 43 | 84 | 49 | 82 | 63 | 81 | 47 |
| PGP | 84 | 84 | 84 | 84 | 84 | 84 | 84 | 84 | 84 | 84 | 84 | 84 | 84 | 84 | 84 | 84 | 84 | 84 | 84 | 84 | 84 | 84 |
| GLS | 0 | 7 | 24 | 25 | 1 | 16 | 1 | 16 | 9 | 10 | 9 | 16 | 29 | 12 | 12 | 4 | 14 | 11 | 14 | 6 | 26 | 7 |
| AST | 9 | 7 | 19 | 17 | 1 | 35 | 0 | 24 | 29 | 35 | 33 | 19 | 29 | 14 | 18 | 7 | 25 | 18 | 36 | 19 | 44 | 9 |
| PTS | 9 | 14 | 43 | 42 | 2 | 51 | 1 | 40 | 38 | 45 | 42 | 35 | 58 | 26 | 30 | 11 | 39 | 29 | 50 | 25 | 70 | 16 |
| +/- | -1 | -4 | 22 | -1 | -2 | 30 | -2 | -13 | -4 | 10 | 3 | 4 | -2 | 9 | -4 | -2 | 8 | 1 | 2 | -1 | 15 | 3 |
| PIM | 12 | 305 | 40 | 73 | 174 | 66 | 61 | 108 | 131 | 143 | 59 | 149 | 73 | 33 | 60 | 97 | 32 | 39 | 38 | 52 | 24 | 27 |
| S | 31 | 48 | 200 | 150 | 23 | 212 | 11 | 217 | 61 | 252 | 141 | 97 | 195 | 63 | 146 | 33 | 138 | 91 | 138 | 64 | 144 | 70 |
| S% | 0.00 | 14.58 | 12.00 | 16.67 | 4.35 | 7.55 | 9.09 | 7.37 | 14.75 | 3.97 | 6.38 | 16.49 | 14.87 | 19.05 | 8.22 | 12.12 | 10.14 | 12.09 | 10.14 | 9.38 | 18.06 | 10.00 |
| DEF | 57 | 20 | 75 | 50 | 21 | 73 | 35 | 33 | 31 | 49 | 67 | 43 | 50 | 64 | 48 | 36 | 65 | 54 | 58 | 51 | 73 | 58 |
| Salary | $1,373,442 | $165,000 | $4,143,187 | $3,388,073 | $165,000 | $5,958,287 | $165,000 | $1,496,140 | $999,339 | $2,834,276 | $4,732,161 | $2,207,307 | $3,694,939 | $3,331,188 | $1,390,952 | $328,370 | $2,957,050 | $1,726,098 | $2,688,669 | $1,096,570 | $5,763,268 | $1,899,770 |
