# Food-Related Medicines and Supplements (Not Actual Foods)

| Product | Product Type | Target Use | Looks Like a Food | Notes |
|---|---|---|---|---|
| Glucose tablets | Medicine | Treat hypoglycemia | Candy-like tablet | Not a food item category |
| Fish oil capsules | Supplement | Omega-3 intake | Fish-derived | Capsule form |
| Multivitamin gummies | Supplement | General nutrition | Gummy candy | Nutraceutical, not food classification |
| Protein powder (whey isolate) | Supplement | Protein supplementation | Powdered dairy derivative | Typically mixed into shakes |
| Electrolyte solution | Medical drink | Rehydration | Beverage | Often used clinically |
| Iron tablets | Medicine | Iron deficiency | Pill | Not a food |
| Probiotic capsules | Supplement | Gut microbiome support | Yogurt-associated | Capsule format |
| Insulin pen | Prescription medicine | Diabetes management | null | Not food despite dietary context |
| Fiber laxative powder | OTC medicine | Constipation relief | Powder like flour | Therapeutic product |
| Cough syrup (honey flavor) | Medicine | Cough relief | Sweetened liquid | Flavor mentions food but isn't food |
