# Corporate and Regulatory History of Major Smartphone Brands (Mergers, Lawsuits, and Licensing)

| Company/Brand | Event type | Year | Counterparty/Authority | Summary | Product impact mentioned |
| --- | --- | --- | --- | --- | --- |
| Google / Motorola Mobility | Acquisition | 2012 | Google | Acquired handset business and patents | Indirect: patent portfolio |
| Microsoft / Nokia Devices | Acquisition | 2014 | Microsoft | Purchased Nokia phone division | Shift to Lumia strategy |
| Apple | Antitrust/competition inquiry | 2013 | EU Commission | App ecosystem scrutiny | null for hardware |
| Samsung | Patent litigation | 2011–2018 | Apple | Multi-country smartphone patent disputes | null for day-to-day specs |
| Qualcomm | Licensing settlement | 2019 | Apple | Modem licensing agreement | Supply/roadmap |
| Huawei | Trade restrictions | 2019 | US Commerce Dept. | Export controls affecting components/services | Service availability changes |
| LG Mobile | Market exit | 2021 | N/A | Closed smartphone business unit | Long-term updates uncertain |
| BlackBerry | OS transition | 2013 | N/A | Shift from BBOS to BB10 | Platform ecosystem change |
| Sony Ericsson | Corporate restructuring | 2012 | Sony/Ericsson | Sony took full control | Branding consolidation |
| HTC | Asset sale | 2017 | Google | Sold part of smartphone R&D | Reduced product cadence |
