# Fast & Furious Franchise  Iconic High-Speed Cars by Film and Driver (Selected Appearances)

| Franchise / Film | Character / Driver | Vehicle (Make & Model) | Model Year (as depicted) | Notable Speed/Chase Context | On-screen Outcome |
|---|---|---|---|---|---|
| The Fast and the Furious (2001) | Dominic Toretto | Dodge Charger R/T | 1970 | Street race & final run; muscle-car speed as spectacle | Wrecked in finale |
| The Fast and the Furious (2001) | Brian O'Conner | Toyota Supra Mk4 | 1994 | High-speed highway run; "10-second car" payoff | Survives; given away |
| 2 Fast 2 Furious (2003) | Brian O'Conner | Nissan Skyline GT-R (R34) | 1999 | Opening race sequence; speed-forward showcase | Confiscated / seized |
| The Fast and the Furious: Tokyo Drift (2006) | Sean Boswell | Nissan Silvia S15 | 2000 | Drift races framed as speed culture | Totaled early |
| Fast & Furious (2009) | Dominic Toretto | Chevrolet Chevelle SS | 1970 | Desert/road chases; raw acceleration emphasis | Damaged |
| Fast Five (2011) | Dominic Toretto | Dodge Charger SRT-8 | 2011 | Rio heist chases; speed + power as set-piece | Survives |
| Furious 7 (2015) | Deckard Shaw | Bugatti Veyron | 2011 | Hypercar speed imagery; intimidation via performance | Active |
| The Fate of the Furious (2017) | Dominic Toretto | Chevrolet Impala | 1961 | Street chase; classic car used in modern-speed action | Active |
| F9 (2021) | Jakob Toretto | Ford Mustang GT (off-road build) | 2017 | High-speed pursuit with stunts | Active |
