# Agricultural Crop Diseases  Field Incidence and Integrated Pest Management Actions (Seasonal Report)

| Crop | Disease | Field incidence (%) | Key risk factors | Primary control action | Timing |
|---|---|---:|---|---|---|
| Grapes | Downy mildew | 18 | High humidity, leaf wetness | Copper fungicide rotation | Pre-bloom to veraison |
| Grapes | Powdery mildew | 25 | Warm dry days, dense canopy | Sulfur + canopy thinning | Early season |
| Grapes | Black rot | 9 | Overwintered mummies | Sanitation + protectant spray | Post-bloom |
| Grapes | Botrytis bunch rot | 12 | Tight clusters, rain near harvest | Botryticides | Pre-harvest |
| Wheat | Rust | 14 | Susceptible cultivar | Resistant variety + fungicide | Stem elongation |
| Potatoes | Late blight | 7 | Cool wet weather | Forecast-based fungicides | Rapid response |
| Tomatoes | Early blight | 11 | Splash dispersal | Mulch + fungicide | After transplant |
| Apples | Fire blight | 3 | Warm bloom temps | Antibiotic spray (orchard) | Bloom |
| Citrus | Greening (HLB) | 2 | Psyllid pressure | Vector control | Year-round |
| Rice | Blast | 6 | High nitrogen | Adjust N + fungicide | Tillering |
| Soybean | Sudden death syndrome | 4 | Cool wet soils | Seed treatment | Planting |
| Corn | Northern leaf blight | 10 | Residue, humidity | Hybrid resistance | Mid-season |
