# Beijing 2008 Summer Olympics — Individual Gold Medalists (Combat & Precision Sports)

| Category | Sport | Event | Athlete | Country (NOC) | Result/Score (Final) | Medal (2008) |
|---|---|---|---|---|---|---|
| Combat | Boxing | Men's Heavyweight (91 kg) | Rakhim Chakhkiev | Russia (RUS) | Won gold medal bout | Gold |
| Combat | Boxing | Men's Middleweight (75 kg) | James DeGale | Great Britain (GBR) | Won gold medal bout | Gold |
| Combat | Taekwondo | Women's 67 kg | Hwang Kyung-seon | South Korea (KOR) | Won final match | Gold |
| Combat | Taekwondo | Men's +80 kg | Steven López | United States (USA) | Won final match | Gold |
| Combat | Wrestling (Greco-Roman) | Men's 84 kg | Andrea Minguzzi | Italy (ITA) | Won final bout | Gold |
| Combat | Wrestling (Freestyle) | Men's 96 kg | Taimuraz Tigiyev | Kazakhstan (KAZ) | Won final bout | Gold |
| Precision | Shooting | Men's 10 m Air Rifle | Abhinav Bindra | India (IND) | 700.5 total | Gold |
| Precision | Shooting | Women's 25 m Pistol | Chen Ying | China (CHN) | Won final | Gold |
| Precision | Archery | Men's Individual | Viktor Ruban | Ukraine (UKR) | Won final | Gold |
| Precision | Canoe Slalom | Men's K1 | Tony Estanguet | France (FRA) | Won final run | Gold |
