# Common Pain-Relief Medications (Analgesics) — Generic and Brand Names

| Drug (Generic) | Common Brand Name(s) | Drug Type | Typical Uses (Pain) | Notes / Cautions |
| --- | --- | --- | --- | --- |
| Acetaminophen (Paracetamol) | Tylenol; Panadol | Non-opioid analgesic / antipyretic | Mild–moderate pain; headache; fever | Not an NSAID; liver toxicity risk at high doses or with alcohol |
| Ibuprofen | Advil; Motrin | NSAID | Muscle aches; dental pain; menstrual cramps | Can irritate stomach; avoid in some kidney disease |
| Naproxen | Aleve; Naprosyn | NSAID | Back pain; inflammatory pain | Longer-acting NSAID; GI bleeding risk |
| Diclofenac | Voltaren; Cataflam | NSAID | Joint/muscle pain; localized pain (gel) | Cardiovascular/GI risks; topical forms for localized pain |
| Ketorolac | Toradol | NSAID | Short-term moderate–severe acute pain | Typically limited to short duration due to GI/kidney risk |
| Aspirin (Acetylsalicylic acid) | Bayer; Ecotrin | NSAID (salicylate) | Mild pain; headache | Also used for antiplatelet effects; avoid in children with viral illness |
| Celecoxib | Celebrex | COX-2 selective NSAID | Inflammatory pain | Lower GI irritation than some NSAIDs; cardiovascular cautions |
| Tramadol | Ultram; ConZip | Opioid-like analgesic | Moderate pain when non-opioids inadequate | Dependence risk; can cause dizziness; interaction cautions |
| Oxycodone | OxyContin; Roxicodone | Opioid analgesic | Severe acute pain | High misuse/overdose risk; constipation and sedation common |
| Morphine | MS Contin; Kadian | Opioid analgesic | Severe pain (often in hospital settings) | Respiratory depression risk; dose adjustment in kidney impairment |
