# Counties and Areas — Ireland vs. United Kingdom (Mixed List)

| County | Country | Land Area (km²) | Region | Remarks |
|---|---|---:|---|---|
| Cork | Ireland | 7498 | Munster | Irish county |
| Galway | Ireland | 6149 | Connacht | Irish county |
| Mayo | Ireland | 5586 | Connacht | Irish county |
| Antrim | Northern Ireland (UK) | 3046 | Ulster | UK constituent country |
| Down | Northern Ireland (UK) | 2466 | Ulster | UK constituent country |
| Kent | England (UK) | 3736 | South East | Non-Irish county |
| Yorkshire | England (UK) | 15420 | Yorkshire and the Humber | Ceremonial context varies |
| Glamorgan | Wales (UK) | 2100 | Wales | Historic county |
| Highland | Scotland (UK) | 26186 | Highlands | Council area |
| Lancashire | England (UK) | 3079 | North West | Non-Irish county |
| Dublin | Ireland | 922 | Leinster | Irish county |
