# Lakes by Altitude  Examples from Lowland to High-Altitude (with Area and Depth)

| Altitude Class | Lake | Location | Elevation (m a.s.l.) | Surface Area (km²) | Max Depth (m) |
|---|---|---|---:|---:|---:|
| Lowland (≤200 m) | Lake Balaton | Hungary | 104 | 592.0 | 12 |
| Lowland (≤200 m) | Lake Erie | USA/Canada | 174 | 25700.0 | 64 |
| Upland (200–800 m) | Lake Titicaca | Peru/Bolivia | 3812 | 8372.0 | 281 |
| Upland (200–800 m) | Lake Tahoe | USA | 1897 | 490.0 | 501 |
| High-altitude (≥800 m) | Crater Lake | USA | 1883 | 53.2 | 594 |
| High-altitude (≥800 m) | Lake Tekapo | New Zealand | 710 | 83.0 | 120 |
| High-altitude (≥800 m) | Oeschinen Lake (Oeschinensee) | Switzerland | 1578 | 1.1 | 56 |
| High-altitude (≥800 m) | Pangong Tso | India/China | 4250 | 604.0 | 100 |
| High-altitude (≥800 m) | Lake Namtso (Nam Co) | China (Tibet) | 4718 | 1920.0 | 33 |
