# Second-Hand iPhone 5   Galaxy S III   Lumia 920 — Used Market Prices by Carrier Unlocked (Good Condition)

| Phone model | Variant type | Storage (GB) | Carrier / lock status | Typical used price (USD) | Notes |
|---|---|---:|---|---:|---|
| Apple iPhone 5 | GSM model | 16 | Unlocked | 35 | Older iOS support; verify battery health |
| Apple iPhone 5 | GSM model | 32 | Unlocked | 45 | Higher storage often slightly higher resale |
| Apple iPhone 5 | GSM model | 64 | Unlocked | 55 | Limited app compatibility vs newer iPhones |
| Apple iPhone 5 | CDMA model | 16 | Verizon (locked) | 30 | Carrier-locked devices may be harder to activate |
| Samsung Galaxy S III | Standard | 16 | Unlocked | 40 | Android version may be outdated; check LTE bands |
| Samsung Galaxy S III | Standard | 16 | AT&T (locked) | 30 | Locked pricing tends to be lower |
| Samsung Galaxy S III | Standard | 32 | Unlocked | 55 | microSD support can reduce need for larger SKU |
| Samsung Galaxy S III | Standard | 32 | T-Mobile (locked) | 38 | Check if device is paid off/unlockable |
| Nokia Lumia 920 | Standard | 32 | Unlocked | 25 | Windows Phone ecosystem discontinued |
| Nokia Lumia 920 | Standard | 32 | AT&T (locked) | 18 | Lowest cost but limited usefulness today |
| Nokia Lumia 920 | Standard | 32 | Verizon (locked) | 20 | Verify network compatibility before purchase |
| Nokia Lumia 920 | Standard | 32 | International unlocked | 28 | May support different LTE/3G bands |
