# Top Torrent Indexing Sites and Meta-Search Engines

| Rank | Site | Focus | Registration | Notable Feature | Mirror/Alt Domains |
|---:|---|---|---|---|---|
| 1 | TorrentGalaxy | General torrents | Optional | Community comments | tgx.* |
| 2 | 1337x | General torrents | Optional | Category browsing | 1337x.* |
| 3 | The Pirate Bay | General torrents | Optional | Magnet-heavy listings | thepiratebay.* |
| 4 | Torrentz2 | Meta-search | null | Aggregates results | torrentz2.* |
| 5 | YTS | Movies | null | Small file sizes | yts.* |
| 6 | Nyaa | Anime | Optional | Fansub-centric | nyaa.* |
| 7 | RARBG (archive) | Movies/TV | null | Curated lists | mirrors vary |
| 8 | LimeTorrents | General torrents | null | Large catalog | limetorrents.* |
| 9 | Zooqle | General torrents | null | Verified torrents | zooqle.* |
| 10 | TorrentDownloads | General torrents | null | Simple UI | torrentdownloads.* |
