# Used Phone Buyer Checklist  What to Inspect Before Paying (No price or seller columns)

| Check area | What to look for | How to test quickly | Common red flags | Risk level | Notes |
|---|---|---|---|---|---|
| Screen | Scratches, dead pixels, burn-in | White image, brightness max | Pink tint, ghosting | Medium | OLED panels show burn-in more clearly |
| Battery health | Degradation, sudden drops | Settings battery health / discharge test | <80% health, swelling | High | Replacement cost varies by model |
| Cameras | Focus, dust, OIS noise | Record video, tap-to-focus | Rattling, blurry edges | Medium | Check ultrawide too |
| Buttons & ports | Power/volume, USB-C/Lightning | Plug charger, wiggle test | Loose port, stuck keys | High | Port repairs can be costly |
| Connectivity | Wi‑Fi, Bluetooth, GPS, NFC | Pair headphones, maps lock | No GPS lock, dropouts | Medium | Carrier bands not covered here |
| Biometrics | Face ID / fingerprint | Add new fingerprint/face | Sensor failure | Medium | Some repairs disable features |
| Water damage | Corrosion indicators | Check SIM tray indicator | Pink/red indicator | High | Often causes intermittent faults |
| Activation lock | iCloud/FRP lock status | Reset & sign-in check | Seller refuses reset | High | Avoid if not removable |
| IMEI status | Blacklist, financing | IMEI check websites | Reported lost/stolen | High | Region-specific databases |
| Accessories | Charger/cable authenticity | Inspect markings | Fake chargers | Low | Mainly safety concern |
