# NSAID Analgesics by COX Selectivity (Non-Opioid Pain and Inflammation)

| NSAID (Generic) | Representative Brand Name(s) | COX Selectivity Category | Typical Clinical Focus | Route Highlights |
|---|---|---|---|---|
| Aspirin (anti-inflammatory doses) | Bayer (varies) | Nonselective COX-1/COX-2 | Pain/inflammation (not low-dose antiplatelet use) | Oral |
| Ibuprofen | Advil, Motrin | Nonselective | General pain + inflammation | Oral |
| Naproxen | Aleve, Naprosyn | Nonselective | Inflammatory pain; musculoskeletal pain | Oral |
| Ketoprofen | Orudis | Nonselective | Pain/inflammation | Oral |
| Flurbiprofen | Ansaid | Nonselective | Pain/inflammation | Oral |
| Indomethacin | Indocin | Nonselective | Strong anti-inflammatory effect (e.g., acute inflammatory pain) | Oral/rectal |
| Diclofenac | Voltaren, Cataflam | Nonselective (some COX-2 preference) | Arthritis and localized inflammatory pain | Oral/topical |
| Meloxicam | Mobic | Preferential COX-2 | Chronic inflammatory pain | Oral |
| Etodolac | Lodine | Preferential COX-2 | Pain/inflammation | Oral |
| Celecoxib | Celebrex | COX-2 selective | Pain/inflammation with lower GI ulcer risk vs nonselective | Oral |
| Ketorolac | Toradol, Sprix | Nonselective | Short-term higher-intensity analgesia | Oral/IM/IV/intranasal |
| Piroxicam | Feldene | Nonselective | Chronic inflammatory pain | Oral |
