# Accidents and Environmental Hazards (Injury Poisoning, Not Infectious)

| Hazard type | Exposure scenario | Primary harm | Example outcomes | At-risk groups | Mitigation |
|---|---|---|---|---|---|
| Carbon monoxide | Faulty heater in enclosed room | Hypoxia/toxicity | Loss of consciousness, death | Households in winter | Ventilation, detectors |
| Lead | Old paint/dust ingestion | Neurotoxicity | Developmental delay | Young children | Abatement |
| Heat | Outdoor work during heatwave | Heat illness | Heat stroke | Workers/elderly | Hydration, rest |
| Alcohol intoxication | Binge drinking | CNS depression | Poisoning, accidents | Adolescents/young adults | Limits, counseling |
| Road traffic | High-speed collision | Trauma | Fractures, TBI | Drivers/pedestrians | Seatbelts, speed control |
| Drowning | Swimming without supervision | Asphyxia | Death | Children | Barriers, supervision |
| Falls | Slippery surfaces | Trauma | Hip fracture | Elderly | Home safety |
| Air pollution | High PM2.5 exposure | Respiratory/cardiac effects | Exacerbations, mortality | Urban residents | Emission control |
| Pesticides | Improper handling | Toxic exposure | Acute poisoning | Farm workers | PPE, training |
| Radiation | Excess UV exposure | DNA damage | Skin cancer | Outdoor workers | Sunscreen, shade |
