# Food Type Reference Table (Single-Item Rows with Category and Notes)

| Food item | Food category | Subcategory/type | Common form | Simple notes |
|---|---|---|---|---|
| Basmati rice | Grain | Rice | Dry grain (cooked before eating) | Aromatic; common in South Asian dishes |
| Quinoa | Pseudocereal | Seed grain | Dry grain (cooked) | Higher protein than many grains |
| Oatmeal | Grain | Oats | Rolled oats (cooked porridge) | Often eaten at breakfast |
| Sweet potato | Vegetable | Root/tuber | Fresh (baked/boiled/mashed) | Starchy vegetable |
| Broccoli | Vegetable | Cruciferous | Fresh or frozen (steamed/roasted) | High in fiber |
| Avocado | Fruit | Fatty fruit | Fresh (sliced/mashed) | High in monounsaturated fat |
| Kiwi | Fruit | Tropical/berry-like | Fresh | Tangy; high vitamin C |
| Dried apricot | Fruit | Dried fruit | Dried | More concentrated sugar than fresh |
| Yogurt (plain) | Dairy | Fermented milk | Refrigerated cup/tub | Contains live cultures |
| Chocolate milk | Dairy beverage | Flavored milk | Ready-to-drink | Contains added sugar |
| Ice cream | Prepared dessert | Frozen dairy dessert | Frozen | Often high in sugar and saturated fat |
| Potato chips | Snack food | Fried potato snack | Packaged | High sodium; energy-dense |
