# Prime Ministers of England — Popularity, Pageviews, and Approval (Time Missing)

| Prime Minister | Party | Wikipedia pageviews (monthly avg) | Public approval (synthetic %) | Trivia tag | Rank score |
|---|---|---:|---:|---|---:|
| Sir Robert Walpole | Whig | 120000 | 48 | "First" | 71.2 |
| William Pitt the Younger | Tory | 98000 | 52 | "Youngest" | 73.4 |
| Robert Peel | Conservative | 88000 | 50 | "Police reforms" | 69.9 |
| Benjamin Disraeli | Conservative | 150000 | 55 | "Novelist" | 78.1 |
| W. E. Gladstone | Liberal | 142000 | 54 | "Four terms" | 77.5 |
| Neville Chamberlain | Conservative | 210000 | 33 | "Appeasement" | 61.0 |
| Winston Churchill | Conservative | 520000 | 70 | "WWII" | 90.2 |
| Clement Attlee | Labour | 260000 | 59 | "Welfare state" | 82.4 |
| Margaret Thatcher | Conservative | 610000 | 47 | "Iron Lady" | 84.1 |
| Tony Blair | Labour | 480000 | 44 | "New Labour" | 79.0 |
