# All-Time Top Grossing Movies (Worldwide Box Office) — Selected Blockbusters

| Rank | Movie Title | Release Year | Distributor | Domestic Gross (USD) | International Gross (USD) | Worldwide Gross (USD) |
|---:|---|---:|---|---:|---:|---:|
| 1 | Avatar | 2009 | 20th Century Fox | $785,221,649 | $2,137,696,265 | $2,922,917,914 |
| 2 | Avengers: Endgame | 2019 | Walt Disney Studios Motion Pictures | $858,373,000 | $1,939,427,564 | $2,797,800,564 |
| 3 | Titanic | 1997 | Paramount Pictures / 20th Century Fox | $674,292,608 | $1,578,352,994 | $2,252,645,602 |
| 4 | Star Wars: The Force Awakens | 2015 | Walt Disney Studios Motion Pictures | $936,662,225 | $1,131,561,399 | $2,068,223,624 |
| 5 | Avengers: Infinity War | 2018 | Walt Disney Studios Motion Pictures | $678,815,482 | $1,369,544,272 | $2,048,359,754 |
| 6 | Jurassic World | 2015 | Universal Pictures | $652,306,625 | $1,019,939,914 | $1,672,246,539 |
| 7 | The Lion King (2019) | 2019 | Walt Disney Studios Motion Pictures | $543,638,043 | $1,113,781,734 | $1,657,419,777 |
| 8 | Furious 7 | 2015 | Universal Pictures | $353,007,020 | $1,162,000,000 | $1,515,007,020 |
| 9 | Frozen II | 2019 | Walt Disney Studios Motion Pictures | $477,373,578 | $971,000,000 | $1,448,373,578 |
| 10 | Barbie | 2023 | Warner Bros. Pictures | $636,238,421 | $809,657,854 | $1,445,896,275 |
