# Solar Photosphere Composition (Selected Elements by Mass Fraction)

| Category | Element | Symbol | Atomic Number | Approx. Mass Fraction (%) | Notes |
|---|---|---|---:|---:|---|
| Major | Hydrogen | H | 1 | 73.8 | Dominant constituent of the Sun |
| Major | Helium | He | 2 | 24.8 | Second-most abundant element |
| Metal (trace) | Oxygen | O | 8 | 0.80 | Most abundant heavy element (“metal”) |
| Metal (trace) | Carbon | C | 6 | 0.30 | Key contributor to opacity |
| Metal (trace) | Neon | Ne | 10 | 0.16 | Noble gas; abundance inferred indirectly |
| Metal (trace) | Nitrogen | N | 7 | 0.09 | Produced/processed in CNO cycle |
| Metal (trace) | Magnesium | Mg | 12 | 0.06 | Important for spectral lines |
| Metal (trace) | Silicon | Si | 14 | 0.07 | Refractory element |
| Metal (trace) | Iron | Fe | 26 | 0.14 | Strong contributor to line blanketing |
| Metal (trace) | Sulfur | S | 16 | 0.04 | Moderately volatile element |
| Metal (trace) | Calcium | Ca | 20 | 0.007 | Prominent Ca II H&K lines |
| Metal (trace) | Nickel | Ni | 28 | 0.008 | Often tracked with Fe |
| Metal (trace) | Aluminum | Al | 13 | 0.006 | Minor refractory element |
