# Solar Photosphere  Effective Temperature and Radiative Output by Wavelength Band

| Wavelength band | Range (nm) | Approx. share of total solar irradiance (%) | Effective brightness temperature (K) | Notes |
|---|---:|---:|---:|---|
| Ultraviolet (UV-C) | 100–280 | 0.1 | 4500 | Strongly absorbed by Earth's atmosphere |
| Ultraviolet (UV-B) | 280–315 | 0.5 | 5200 | Biologically active |
| Ultraviolet (UV-A) | 315–400 | 3.0 | 5600 | Reaches surface more readily |
| Visible (violet–blue) | 400–500 | 15.0 | 5800 | Peak near ~500 nm |
| Visible (green–red) | 500–700 | 40.0 | 5800 | Main contribution to daylight |
| Near infrared (NIR) | 700–1400 | 35.0 | 5700 | Large fraction as heat |
| Shortwave IR (SWIR) | 1400–3000 | 6.4 | 5400 | Water absorption bands present |
| Mid/thermal IR | 3000–100000 | 0.5 | 3000 | Long tail of Planck curve |
| Total | 100–100000 | 100.0 | 5772 | Integrated solar spectrum |
