# Beijing 2008 Summer Olympics — Selected Individual Gold Medal Winners (Athlete-Level)

| Sport | Event | Athlete | Country (NOC) | Medal (Beijing 2008) | Notes |
|---|---|---|---|---|---|
| Athletics | Men's 100 m | Usain Bolt | Jamaica (JAM) | Gold | World record in the final |
| Athletics | Women's 100 m | Shelly-Ann Fraser | Jamaica (JAM) | Gold | First Olympic title |
| Athletics | Men's Marathon | Samuel Wanjiru | Kenya (KEN) | Gold | Olympic record |
| Gymnastics (Artistic) | Women's All-Around | Nastia Liukin | United States (USA) | Gold | Individual all-around champion |
| Swimming | Men's 100 m Butterfly | Michael Phelps | United States (USA) | Gold | Won final by 0.01 seconds |
| Swimming | Women's 400 m Freestyle | Katie Hoff | United States (USA) | Gold | Olympic champion in the event |
| Tennis | Men's Singles | Rafael Nadal | Spain (ESP) | Gold | Defeated Fernando González in final |
| Weightlifting | Men's 69 kg | Liao Hui | China (CHN) | Gold | Set world record total |
| Wrestling (Freestyle) | Men's 55 kg | Henry Cejudo | United States (USA) | Gold | Youngest U.S. Olympic wrestling champion |
| Judo | Men's 60 kg | Tadahiro Nomura | Japan (JPN) | Gold | Completed three Olympic titles |
