# Household Product Formulation Examples (Ingredient Percent by Weight, % w w)

| Example product (household) | Ingredient | CAS (if common) | Function | Concentration (% w/w) |
|---|---|---|---|---:|
| Oxygen bleach powder (laundry booster) | Sodium percarbonate | 15630-89-4 | Oxygen-releasing bleach | 50–80% |
| Oxygen bleach powder (laundry booster) | Sodium carbonate | 497-19-8 | Builder/alkalinity | 10–30% |
| Laundry detergent (liquid, nonionic-heavy) | Alcohol ethoxylates (C12-15) | 68131-39-5 | Primary surfactant | 5–15% |
| Laundry detergent (liquid) | Sodium laureth sulfate (SLES) | 9004-82-4 | Secondary surfactant | 1–7% |
| Dishwashing liquid | Cocamidopropyl betaine | 61789-40-0 | Amphoteric surfactant | 2–8% |
| Dishwashing liquid | Sodium chloride | 7647-14-5 | Viscosity modifier | 0.5–3% |
| Glass cleaner | Isopropyl alcohol | 67-63-0 | Solvent/evaporation aid | 2–8% |
| Glass cleaner | Ammonium hydroxide | 1336-21-6 | Alkaline cleaner | 0.3–1.0% |
| Bathroom descaler (acidic spray) | Lactic acid | 50-21-5 | Descaling acid | 3–8% |
| Bathroom descaler (acidic spray) | Citric acid | 77-92-9 | Chelating/descaling | 1–5% |
| Mold & mildew remover | Sodium hypochlorite | 7681-52-9 | Oxidizing biocide | 1–3% |
| Mold & mildew remover | Sodium hydroxide | 1310-73-2 | pH adjuster | 0.1–0.5% |
| Toilet bowl cleaner (thick) | Hydrochloric acid | 7647-01-0 | Acid cleaner | 9–12% |
| Toilet bowl cleaner (thick) | Nonionic surfactants | - | Wetting/thickening aid | 0.5–2% |
| Drain opener (granular) | Sodium hydroxide | 1310-73-2 | Caustic | 90–100% |
| Drain opener (granular) | Aluminum (powder) | 7429-90-5 | Heat generation (with alkali/water) | 1–5% |
