# Cycle-Length Comparisons That Control When Lunar Phases Repeat (Mean periods, days)

| Lunar cycle / period | What it measures (linked to phase repetition) | Mean length (days) | Difference vs synodic month (days) | Approx. phase drift after 1 synodic month |
|---|---|---:|---:|---|
| Synodic month | Phase-to-phase repeat (New Moon to New Moon) | 29.5306 | 0.0000 | 0 (definition of phase recurrence) |
| Sidereal month | Orbit relative to fixed stars | 27.3217 | -2.2089 | Phases do not repeat; geometry vs Sun shifts |
| Draconic month | Return to lunar node line (eclipse geometry) | 27.2122 | -2.3184 | Phase occurs ~2.32 days later relative to node each month |
| Anomalistic month | Perigee-to-perigee (orbital speed/size changes) | 27.5546 | -1.9760 | Same phase occurs ~1.98 days later relative to perigee each month |
| Tropical month | Orbit relative to equinox direction | 27.3216 | -2.2090 | Similar to sidereal; not a phase-repeat cycle |
| 6 synodic months | Useful near-repetition of phase pattern by count | 177.1836 | +147.6530 | Same named phases recur every 29.53 d; this is a multi-month span |
| 12 synodic months | Approx. yearly count of phase repeats | 354.3672 | +324.8366 | Shows how many phase cycles fit in ~1 year |
| 235 synodic months (Metonic cycle) | Near-recurrence of lunar phase on same calendar date | 6939.6889 | +6910.1583 | Calendar-date alignment; phase itself still repeats every 29.53 d |
| 223 synodic months (Saros) | Near-recurrence of phase + eclipse geometry | 6585.3218 | +6555.7912 | Phase repetition plus node alignment for similar eclipses |
| 1 solar year (tropical year) | Reference for comparing phase cycles to year | 365.2422 | +335.7116 | About 12.37 synodic months per year |
