# Constellation Neighbor List — Zodiac and Nearby Constellations (Adjacency by IAU Borders)

| Constellation | Type/Group | Bordering (Adjacent) Constellations |
|---|---|---|
| Aries | Zodiac | Pisces; Triangulum; Perseus; Taurus; Cetus |
| Taurus | Zodiac | Aries; Perseus; Auriga; Gemini; Orion; Eridanus; Cetus |
| Gemini | Zodiac | Taurus; Auriga; Lynx; Cancer; Canis Minor; Monoceros; Orion |
| Cancer | Zodiac | Gemini; Lynx; Leo; Leo Minor; Hydra |
| Leo | Zodiac | Cancer; Leo Minor; Lynx; Ursa Major; Coma Berenices; Virgo; Sextans; Hydra |
| Virgo | Zodiac | Leo; Coma Berenices; Boötes; Libra; Corvus; Crater; Sextans; Hydra |
| Libra | Zodiac | Virgo; Scorpius; Ophiuchus; Serpens; Hydra; Lupus |
| Scorpius | Zodiac | Libra; Ophiuchus; Sagittarius; Lupus; Norma; Ara |
| Sagittarius | Zodiac | Scorpius; Ophiuchus; Serpens; Aquila; Capricornus; Microscopium; Telescopium; Corona Australis; Scutum |
| Capricornus | Zodiac | Sagittarius; Aquila; Microscopium; Piscis Austrinus; Aquarius |
| Aquarius | Zodiac | Capricornus; Piscis Austrinus; Pegasus; Equuleus; Delphinus; Pisces; Cetus |
| Pisces | Zodiac | Aquarius; Pegasus; Andromeda; Triangulum; Aries; Cetus |
| Orion | Prominent | Taurus; Gemini; Monoceros; Canis Minor; Lepus; Eridanus |
| Ophiuchus | Near-Zodiac | Scorpius; Sagittarius; Serpens; Hercules; Aquila; Libra |
| Hydra | Large Southern | Cancer; Leo; Virgo; Sextans; Crater; Corvus; Antlia; Pyxis; Centaurus; Libra |
