# Zoonotic Infection Risk Framed by Animal Contact Route (Bite, Aerosol, Food, Direct Handling)

| Animal/source | Human exposure route | Example diseases | Typical infectious material | How infection happens (pathway) |
|---|---|---|---|---|
| Dogs (unvaccinated/stray) | Bite or saliva-to-wound contact | Rabies | Saliva | Virus enters peripheral nerves via bite wound; progresses to CNS |
| Bats (handling/indoor roosts) | Bite/scratch; saliva contact | Rabies (bat-associated) | Saliva | Bite inoculates virus; risk increased with unrecognized minor bites |
| Rodents (mice/rats) | Inhalation while cleaning droppings | Hantavirus disease | Aerosolized urine/feces | Disturbing dry excreta generates aerosols inhaled into lungs |
| Rodents (rats) | Contact with urine-contaminated water/soil | Leptospirosis | Urine | Organism enters through abraded skin or mucosa after water/soil contact |
| Cattle, goats, sheep | Unpasteurized milk ingestion | Brucellosis | Milk | Ingestion of contaminated dairy; bacteria cross intestinal mucosa |
| Sheep/goats/cattle | Inhalation in barns/parturition areas | Q fever | Birth products/aerosols | Inhalation of contaminated dust/aerosols from placenta/birth fluids |
| Poultry (backyard flocks/live markets) | Inhalation of droplets; close bird contact | Avian influenza | Respiratory secretions, feces | Virus acquired through inhalation or mucosal exposure during handling |
| Pigs (undercooked pork) | Foodborne ingestion | Trichinellosis | Encysted larvae in meat | Larvae ingested in undercooked meat; mature in intestine then migrate |
| Cats (cat scratch/bite) | Scratch or bite | Cat-scratch disease | Contaminated claws/saliva | Bacteria introduced through broken skin during scratch/bite |
| Camels (unprotected close contact) | Respiratory exposure in close contact | MERS | Respiratory secretions | Inhalation of droplets/aerosols during close handling/care |
| Freshwater fish/snails (tropical waters) | Skin contact with infested water | Schistosomiasis (water contact) | Free-swimming cercariae | Larvae penetrate intact skin during wading/swimming |
| Wild game (deer/boar) | Handling carcasses; tick exposure during hunting | Tularemia; Tick-borne infections | Blood/tissues; attached ticks | Pathogen enters via skin breaks while dressing game or via tick bite |
