# Beijing 2008 Olympic Games — Selected Athletics Gold Medal Winners by Event

| Sport | Discipline / Event | Gold Medal Winner | Country | Venue |
|---|---|---|---|---|
| Athletics | Men’s 100 m | Usain Bolt | Jamaica | Beijing National Stadium |
| Athletics | Women’s 100 m | Shelly-Ann Fraser | Jamaica | Beijing National Stadium |
| Athletics | Men’s 200 m | Usain Bolt | Jamaica | Beijing National Stadium |
| Athletics | Women’s 200 m | Veronica Campbell-Brown | Jamaica | Beijing National Stadium |
| Athletics | Men’s 110 m hurdles | Dayron Robles | Cuba | Beijing National Stadium |
| Athletics | Men’s marathon | Samuel Wanjiru | Kenya | Beijing National Stadium |
| Athletics | Women’s marathon | Constantina Diță | Romania | Beijing National Stadium |
| Athletics | Men’s high jump | Andrey Silnov | Russia | Beijing National Stadium |
| Athletics | Women’s pole vault | Yelena Isinbayeva | Russia | Beijing National Stadium |
| Athletics | Men’s long jump | Irving Saladino | Panama | Beijing National Stadium |
| Athletics | Women’s long jump | Maurren Maggi | Brazil | Beijing National Stadium |
| Athletics | Men’s shot put | Tomasz Majewski | Poland | Beijing National Stadium |
