# Sightseeing Planner  Key Attractions in Ottawa (Capital of Canada)

| Area (Ottawa) | Attraction / Point of Interest | Type | Why it’s notable | Suggested visit length | Typical season | Nearest transit / location note |
|---|---|---|---|---|---|---|
| Parliamentary Precinct | Parliament Hill | Landmark / Government precinct | Iconic Gothic Revival complex; ceremonies and viewpoints | 1–2 h | Year-round | Downtown, walkable from Rideau Centre |
| Parliamentary Precinct | National War Memorial | Monument | Central remembrance site near Confederation Square | 15–30 min | Year-round | Confederation Square |
| ByWard Market | ByWard Market | Market / Neighborhood | Food stalls, boutiques, lively streets | 1–2 h | Year-round | East of downtown |
| Canal District | Rideau Canal (UNESCO) | Scenic corridor | Summer boating, winter skating (when open) | 1–3 h | Summer/Winter | Runs through downtown |
| Golden Triangle | National Arts Centre | Performing arts | Major venue for concerts, ballet, theatre | 1–3 h | Year-round | Elgin St / Canal |
| Downtown | Canadian Museum of Nature | Museum | Natural history in a historic “castle-like” building | 1.5–3 h | Year-round | Metcalfe St |
| Hull (across river) | Canadian Museum of History | Museum | Signature totems and national history exhibitions | 2–4 h | Year-round | Gatineau waterfront, across from Parliament |
| Hull (across river) | Canadian Children’s Museum (inside History Museum) | Family attraction | Hands-on exhibits for kids | 1–2 h | Year-round | Inside Canadian Museum of History |
| Riverfront | Major’s Hill Park | Park / Viewpoint | Views of Parliament and the river; festival lawns | 30–90 min | Spring–Fall | Between Parliament and the market |
| Sparks Street | Sparks Street Pedestrian Mall | Street / Historic | Cafes, events, heritage facades | 30–90 min | Spring–Fall | One block south of Parliament |
| Rockcliffe | Canada Aviation and Space Museum | Museum | Aircraft collection and aviation history | 1.5–3 h | Year-round | East Ottawa, near Rockcliffe |
| New Edinburgh | Rideau Hall (Governor General’s residence) | Historic site | Grounds and tours (when available); official residence | 1–2 h | Seasonal tours | Sussex Dr, New Edinburgh |
