# Satellite Constellation Patents Referencing Astronomical Constellation Names (with 'Nearest' Marketing Region)

| Patent family | Filing year | Applicant | Satellite system name | Astronomical-constellation codename | 'Nearest' regional market (business) | Orbit type | Key claim focus |
|---|---:|---|---|---|---|---|---|
| US7,450,506 | 2007 | DIRECTV Group | Spotbeam Network | Orion | North America | GEO | Regional broadcast coverage |
| US6,349,195 | 1998 | Hughes Electronics | LEO Mesh | Cygnus | Europe | LEO | Routing & handoff |
| US6,329,002 | 1998 | Lockheed Martin | Asymmetric Rosette | Draco | Asia-Pacific | MEO | Ground tracking simplification |
| US6,154,998 | 1999 | TRW Inc. | Supplemental Comms | Lyra | Middle East | MEO | Payload redundancy |
| WO2002047122A2 | 2001 | Motorola | Global Messaging | Pegasus | North America | LEO | Store-and-forward messaging |
| US6,734,705 | 2001 | Boeing | Virtual Geosatellite | Andromeda | Latin America | HEO | Apparent stationkeeping |
| US6,824,107 | 2003 | Lockheed Martin | Satellite Internet | Virgo | Europe | LEO | Beam steering |
| US6,767,??? | 2002 | Raytheon | Broadband Relay | Cassiopeia | Africa | MEO | Inter-satellite links |
| US8,090,312 | 2006 | Boeing | Power Beaming | Scorpius | Asia-Pacific | LEO | Wireless power transmission |
