# Peripheral Blood Smear Findings  Prevalence of Morphologic Abnormalities and Associated Diagnoses

| Morphologic finding | Approx. prevalence in evaluated smears (%) | Key description | Common associated conditions |
|---|---:|---|---|
| Anisocytosis | 35 | Marked size variation | Iron deficiency, megaloblastic anemia |
| Macrocytosis | 12 | Enlarged RBCs (MCV > 100 fL) | B12/folate deficiency, liver disease |
| Hypochromia | 18 | Increased central pallor | Iron deficiency, thalassemia |
| Target cells | 7 | Bullseye appearance | Liver disease, HbC, thalassemia |
| Schistocytes | 2 | Fragmented RBCs | TMA, DIC, mechanical valves |
| Spherocytes | 3 | Dense RBCs without central pallor | HS, autoimmune hemolysis |
| Howell–Jolly bodies | 1 | Nuclear remnants | Asplenia/hyposplenism |
| Basophilic stippling | 0.8 | Coarse granules | Lead poisoning, thalassemia |
| Teardrop cells | 1.5 | Dacrocytes | Myelofibrosis, marrow infiltration |
| Sickle cells | 0.3 | Crescent RBCs | Sickle cell disease |
| Rouleaux | 4 | Stacked coins | Multiple myeloma, inflammation |
| Nucleated RBCs | 2.5 | RBC precursors in blood | Hemolysis, severe stress, marrow disease |
