# Romanian Football Clubs Mapped to Their Home Cities (Selected Examples)

| Club | Home City | Country |
|---|---|---|
| Steaua București | Bucharest | Romania |
| Dinamo București | Bucharest | Romania |
| Rapid București | Bucharest | Romania |
| Universitatea Craiova | Craiova | Romania |
| CFR Cluj | Cluj-Napoca | Romania |
| Universitatea Cluj | Cluj-Napoca | Romania |
| Petrolul Ploiești | Ploiești | Romania |
| UTA Arad | Arad | Romania |
| Astra Giurgiu | Giurgiu | Romania |
| Politehnica Timișoara | Timișoara | Romania |
| Jiul Petroșani | Petroșani | Romania |
| Gloria Bistrița | Bistrița | Romania |
