# Heads of Government Comparison (Including England United Kingdom) — Cross-Country List Without PM Terms

| Country | Head of government title | Example office-holder | Selection method | Term length rule | Notes |
|---|---|---|---|---|---|
| United Kingdom (England) | Prime Minister | Rishi Sunak | Parliamentary majority | No fixed term | Example name only |
| France | Prime Minister | Élisabeth Borne | Appointed by president | Varies | Semi-presidential |
| Germany | Chancellor | Olaf Scholz | Bundestag election | 4 years typical | Parliamentary |
| Canada | Prime Minister | Justin Trudeau | House confidence | No fixed term | Commonwealth |
| Australia | Prime Minister | Anthony Albanese | House confidence | No fixed term | Commonwealth |
| India | Prime Minister | Narendra Modi | Lok Sabha majority | 5 years | Parliamentary |
| Japan | Prime Minister | Fumio Kishida | Diet election | Varies | Parliamentary |
| Italy | Prime Minister | Giorgia Meloni | Parliamentary coalition | Varies | Frequent changes |
| Malaysia | Prime Minister | Anwar Ibrahim | Parliamentary majority | No fixed term | Constitutional monarchy |
| Spain | Prime Minister | Pedro Sánchez | Investiture vote | 4 years typical | Parliamentary monarchy |
