# World Currencies Catalog (Including Asia Section)

| Continent | Country/Territory | Currency |
|---|---|---|
| Asia | Pakistan | Pakistani rupee |
| Asia | Philippines | Philippine peso |
| Asia | Qatar | Qatari riyal |
| Asia | Sri Lanka | Sri Lankan rupee |
| Asia | United Arab Emirates | UAE dirham |
| Europe | France | Euro |
| Europe | Switzerland | Swiss franc |
| Africa | South Africa | South African rand |
| Americas | Brazil | Brazilian real |
| Oceania | New Zealand | New Zealand dollar |
