<table>
  <caption>Average dipole moment, μ , of the bulk water molecules, BW, and, for the solutions, of the solvation shell waters, SW, and of methanol or methane.</caption>
  <tr><th>system</th><th>μ (D)</th></tr>
  <tr><th>pure water (400 K)</th><th>3.49± 0.16</th></tr>
  <tr><th>pure water (460 K)</th><td>2.94± 0.01</td></tr>
  <tr><th>water-methanol (400 K) BW</th><td>3.56± 0.17</td></tr>
  <tr><th>water-methanol (400 K) SW</th><td>3.05± 0.02</td></tr>
  <tr><th>water-methanol (400 K) methanol</th><td>3.05± 0.10</td></tr>
  <tr><th>water-methane (400 K) BW</th><td>3.16± 0.02</td></tr>
  <tr><th>water-methane (400 K) SW</th><td>3.05± 0.02</td></tr>
  <tr><th>water-methane (400 K) methane</th><td>0.26± 0.03</td></tr>
  <tr><th>water-methane (460 K) BW</th><td>2.99± 0.02</td></tr>
  <tr><th>water-methane (460 K) SW</th><td>2.94± 0.02</td></tr>
  <tr><th>water-methane (460 K) methane</th><td>0.34± 0.04</td></tr>
</table>
