<table>
  <caption>continued.</caption>
  <tr><th>Name</th><th>Model</th><th>{χ_(red)^(2)</th><th>Cste</th><th>1 planet</th><th>2 planets</th><th>3 planets</th></tr>
  <tr><td>Gl1</td><td>1 planet</td><td>8.3</td><td>67.2</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>4.1</td><td></td><td>94.6</td><td></td><td></td></tr>
  <tr><td></td><td>3 planets</td><td>2.7</td><td>61.2</td><td>9.9</td><td></td><td></td></tr>
  <tr><td>Gl54.1</td><td>1 planet</td><td>0.3</td><td>26.1</td><td></td><td></td><td></td></tr>
  <tr><td>Gl87</td><td>1 planet</td><td>0.9</td><td>65.7</td><td></td><td></td><td></td></tr>
  <tr><td>Gl105B</td><td>1 planet</td><td>0.7</td><td>35.4</td><td></td><td></td><td></td></tr>
  <tr><td>Gl176</td><td>1 planet</td><td>25.9</td><td>0.1</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>9.2</td><td></td><td>0.2</td><td></td><td></td></tr>
  <tr><td></td><td>3 planets</td><td>5.8</td><td><10^(-3)</td><td>1.0</td><td></td><td></td></tr>
  <tr><td></td><td>4 planets</td><td>3.0</td><td><10^(-3)</td><td>3.7</td><td>32.3</td><td>66.3</td></tr>
  <tr><td>Gl191</td><td>1 planet</td><td>7.9</td><td>52.2</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>1.8</td><td></td><td>19.0</td><td></td><td></td></tr>
  <tr><td>Gl205</td><td>1 planet</td><td>22.8</td><td><10^(-3)</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>12.4</td><td></td><td><10^(-3)</td><td></td><td></td></tr>
  <tr><td></td><td>3 planets</td><td>8.0</td><td><10^(-3)</td><td><10^(-3)</td><td></td><td></td></tr>
  <tr><td></td><td>4 planets</td><td>5.6</td><td><10^(-3)</td><td><10^(-3)</td><td><10^(-3)</td><td>73.5</td></tr>
  <tr><td>Gl229</td><td>1 planet</td><td>1.7</td><td>95.3</td><td></td><td></td><td></td></tr>
  <tr><td>Gl273</td><td>1 planet</td><td>10.4</td><td><10^(-3)</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>4.8</td><td></td><td>38.1</td><td></td><td></td></tr>
  <tr><td></td><td>3 planets</td><td>2.6</td><td><10^(-3)</td><td>46.1</td><td></td><td></td></tr>
  <tr><td></td><td>4 planets</td><td>1.4</td><td><10^(-3)</td><td>34.6</td><td>76.8</td><td>87.5</td></tr>
  <tr><td>Gl300</td><td>1 planet</td><td>3.0</td><td>21.3</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>0.9</td><td></td><td>69.6</td><td></td><td></td></tr>
  <tr><td>Gl341</td><td>1 planet</td><td>4.4</td><td>60.5</td><td></td><td></td><td></td></tr>
  <tr><td>Gl358</td><td>1 planet</td><td>17.4</td><td><10^(-3)</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>2.9</td><td></td><td>2.6</td><td></td><td></td></tr>
  <tr><td>Gl367</td><td>1 planet</td><td>1.8</td><td>30.8</td><td></td><td></td><td></td></tr>
  <tr><td>Gl382</td><td>1 planet</td><td>20.6</td><td>19.1</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>7.5</td><td></td><td>29.6</td><td></td><td></td></tr>
  <tr><td>Gl388</td><td>1 planet</td><td>82.1</td><td><10^(-3)</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>40.8</td><td></td><td>67.1</td><td></td><td></td></tr>
  <tr><td></td><td>3 planets</td><td>18.9</td><td><10^(-3)</td><td>70.3</td><td></td><td></td></tr>
  <tr><td>Gl393</td><td>1 planet</td><td>5.5</td><td>13.4</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>1.6</td><td></td><td>61.5</td><td></td><td></td></tr>
  <tr><td>Gl413.1</td><td>1 planet</td><td>1.3</td><td>19.4</td><td></td><td></td><td></td></tr>
  <tr><td>Gl433</td><td>1 planet</td><td>11.6</td><td><10^(-3)</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>6.8</td><td></td><td>88.2</td><td></td><td></td></tr>
  <tr><td></td><td>3 planets</td><td>3.8</td><td>1.3</td><td>65.8</td><td></td><td></td></tr>
  <tr><td></td><td>4 planets</td><td>1.7</td><td>0.3</td><td>15.3</td><td>44.1</td><td>84.3</td></tr>
  <tr><td>Gl438</td><td>1 planet</td><td>0.7</td><td>27.6</td><td></td><td></td><td></td></tr>
  <tr><td>Gl465</td><td>1 planet</td><td>0.6</td><td>86.1</td><td></td><td></td><td></td></tr>
  <tr><td>Gl479</td><td>1 planet</td><td>12.5</td><td><10^(-3)</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>7.1</td><td></td><td>13.7</td><td></td><td></td></tr>
  <tr><td></td><td>3 planets</td><td>4.2</td><td><10^(-3)</td><td>13.0</td><td></td><td></td></tr>
  <tr><td></td><td>4 planets</td><td>2.6</td><td>0.2</td><td>1.7</td><td>84.2</td><td>98.4</td></tr>
  <tr><td>Gl526</td><td>1 planet</td><td>10.6</td><td>0.5</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>2.9</td><td></td><td>50.4</td><td></td><td></td></tr>
  <tr><td>Gl536</td><td>1 planet</td><td>2.4</td><td>47.9</td><td></td><td></td><td></td></tr>
  <tr><td>Gl551</td><td>1 planet</td><td>1.7</td><td>5.9</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>0.8</td><td></td><td>97.4</td><td></td><td></td></tr>
  <tr><td>Gl581</td><td>1 planet</td><td>18.9</td><td><10^(-3)</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>8.5</td><td></td><td><10^(-3)</td><td></td><td></td></tr>
  <tr><td></td><td>3 planets</td><td>5.6</td><td><10^(-3)</td><td><10^(-3)</td><td></td><td></td></tr>
  <tr><td></td><td>4 planets</td><td>3.4</td><td><10^(-3)</td><td><10^(-3)</td><td><10^(-3)</td><td>0.5</td></tr>
  <tr><td>Gl588</td><td>1 planet</td><td>0.7</td><td>20.9</td><td></td><td></td><td></td></tr>
  <tr><td>Gl618A</td><td>1 planet</td><td>4.3</td><td><10^(-3)</td><td></td><td></td><td></td></tr>
  <tr><td>Gl628</td><td>1 planet</td><td>4.7</td><td>0.8</td><td></td><td></td><td></td></tr>
  <tr><td>Gl667C</td><td>1 planet</td><td>10.0</td><td><10^(-3)</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>6.3</td><td></td><td><10^(-3)</td><td></td><td></td></tr>
  <tr><td></td><td>3 planets</td><td>4.7</td><td><10^(-3)</td><td><10^(-3)</td><td></td><td></td></tr>
  <tr><td></td><td>4 planets</td><td>3.5</td><td><10^(-3)</td><td><10^(-3)</td><td>14.8</td><td>36.6</td></tr>
  <tr><td>Gl674</td><td>1 planet</td><td>41.5</td><td><10^(-3)</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>15.3</td><td></td><td>6.0</td><td></td><td></td></tr>
  <tr><td></td><td>3 planets</td><td>7.3</td><td><10^(-3)</td><td>1.0</td><td></td><td></td></tr>
  <tr><td>Gl680</td><td>1 planet</td><td>4.7</td><td>2.0</td><td></td><td></td><td></td></tr>
  <tr><td>Gl682</td><td>1 planet</td><td>0.4</td><td>89.2</td><td></td><td></td><td></td></tr>
  <tr><td>Gl699</td><td>1 planet</td><td>2.6</td><td>84.1</td><td></td><td></td><td></td></tr>
  <tr><td>Gl701</td><td>1 planet</td><td>1.1</td><td>10.2</td><td></td><td></td><td></td></tr>
  <tr><td>Gl752A</td><td>1 planet</td><td>0.8</td><td>8.6</td><td></td><td></td><td></td></tr>
  <tr><td>Gl832</td><td>1 planet</td><td>13.6</td><td><10^(-3)</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>6.0</td><td></td><td>9.8</td><td></td><td></td></tr>
  <tr><td></td><td>3 planets</td><td>2.8</td><td><10^(-3)</td><td>1.9</td><td></td><td></td></tr>
  <tr><td></td><td>4 planets</td><td>1.5</td><td><10^(-3)</td><td>34.7</td><td>52.6</td><td>75.5</td></tr>
  <tr><td>Gl846</td><td>1 planet</td><td>14.1</td><td><10^(-3)</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>4.0</td><td></td><td>12.0</td><td></td><td></td></tr>
  <tr><td>Gl849</td><td>1 planet</td><td>7.4</td><td><10^(-3)</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>2.8</td><td></td><td>66.9</td><td></td><td></td></tr>
  <tr><td>Gl876</td><td>1 planet</td><td>2569.0</td><td><10^(-3)</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>102.3</td><td></td><td><10^(-3)</td><td></td><td></td></tr>
  <tr><td></td><td>3 planets</td><td>44.5</td><td><10^(-3)</td><td><10^(-3)</td><td></td><td></td></tr>
  <tr><td></td><td>4 planets</td><td>12.2</td><td><10^(-3)</td><td><10^(-3)</td><td>2.6</td><td>0.2</td></tr>
  <tr><td>Gl877</td><td>1 planet</td><td>10.3</td><td>3.0</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>5.0</td><td></td><td>94.5</td><td></td><td></td></tr>
  <tr><td></td><td>3 planets</td><td>2.0</td><td>0.9</td><td>60.0</td><td></td><td></td></tr>
  <tr><td>Gl887</td><td>1 planet</td><td>36.2</td><td>0.3</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>18.9</td><td></td><td>2.0</td><td></td><td></td></tr>
  <tr><td></td><td>3 planets</td><td>10.8</td><td><10^(-3)</td><td>0.3</td><td></td><td></td></tr>
  <tr><td></td><td>4 planets</td><td>5.4</td><td><10^(-3)</td><td><10^(-3)</td><td><10^(-3)</td><td>8.4</td></tr>
  <tr><td>Gl908</td><td>1 planet</td><td>5.3</td><td>33.8</td><td></td><td></td><td></td></tr>
  <tr><td></td><td>2 planets</td><td>1.8</td><td></td><td>50.4</td><td></td><td></td></tr>
</table>
