<table>
  <caption>HST /WFPC-2 Quasar Field Observations. The table columns are (1) the quasar field, (2) the quasar redshift, (2) the quasar right ascension and declination (3), (4) the WFPC-2 filter, (5) the exposure time in seconds, and (6) the proposal identification number and primary investigator of the WFPC-2 observations.</caption>
  <tr><th></th><th>QSO – RA</th><th>QSO – DEC</th><th></th><th>Exposure</th><th></th></tr>
  <tr><th>QSO Field</th><th>(J2000)</th><th>(J2000)</th><th>Filter</th><th>(seconds)</th><th>PID/PI</th></tr>
  <tr><td>Q 0002 + 051</td><td>00:05:20.216</td><td>+ 05:24:10.80</td><td>F702W</td><td>4600</td><td>5984/Steidel</td></tr>
  <tr><td>Q 0109 + 200</td><td>01:12:10.187</td><td>+ 20:20:21.79</td><td>F702W</td><td>1800</td><td>6303/Disney</td></tr>
  <tr><td>Q 0117 + 213</td><td>01:20:17.200</td><td>+ 21:33:46.00</td><td>F702W</td><td>2008</td><td>6115/Zuo</td></tr>
  <tr><td>Q 0150 - 202</td><td>01:52:27.300</td><td>- 20:01:06.00</td><td>F702W</td><td>5100</td><td>6557/Steidel</td></tr>
  <tr><td>Q 0229 + 131</td><td>02:31:45.894</td><td>+ 13:22:54.72</td><td>F702W</td><td>5000</td><td>6557/Steidel</td></tr>
  <tr><td>Q 0235 + 164</td><td>02:38:38.930</td><td>+ 16:36:59.28</td><td>F702W</td><td>600</td><td>5096/Burbidge</td></tr>
  <tr><td>Q 0349 - 146</td><td>03:51:28.541</td><td>- 14:29:08.71</td><td>F702W</td><td>2400</td><td>5949/Lanzetta</td></tr>
  <tr><td>Q 0450 - 132</td><td>04:53:13.556</td><td>- 13:05:54.91</td><td>F702W</td><td>2500</td><td>5984/Steidel</td></tr>
  <tr><td>Q 0454 - 220</td><td>04:56:08.900</td><td>- 21:59:09.00</td><td>F702W</td><td>1200</td><td>5098/Burbidge</td></tr>
  <tr><td>Q 0827 + 243</td><td>08:30:52.086</td><td>+ 24:10:59.82</td><td>F702W</td><td>4600</td><td>5984/Steidel</td></tr>
  <tr><td>Q 0836 + 113</td><td>08:39:33.015</td><td>+ 11:12:03.82</td><td>F702W</td><td>5000</td><td>6557/Steidel</td></tr>
  <tr><td>Q 1019 + 309</td><td>10:22:30.298</td><td>+ 30:41:05.12</td><td>F702W</td><td>5100</td><td>6557/Steidel</td></tr>
  <tr><td>Q 1038 + 064</td><td>10:41:17.163</td><td>+ 06:10:16.92</td><td>F702W</td><td>4600</td><td>5984/Steidel</td></tr>
  <tr><td>Q 1127 - 145</td><td>11:30:07.053</td><td>- 14:49:27.39</td><td>F814W</td><td>4400</td><td>9173/Bechtold</td></tr>
  <tr><td>Q 1148 + 387</td><td>11:51:29.399</td><td>+ 38:25:52.57</td><td>F702W</td><td>4800</td><td>5984/Steidel</td></tr>
  <tr><td>Q 1209 + 107</td><td>12:11:40.600</td><td>+ 10:30:02.00</td><td>F702W</td><td>3600</td><td>5351/Bergeron</td></tr>
  <tr><td>Q 1222 + 228</td><td>12:25:27.389</td><td>+ 22:35:12.72</td><td>F702W</td><td>5000</td><td>5984/Steidel</td></tr>
  <tr><td>Q 1241 + 176</td><td>12:44:10.826</td><td>+ 17:21:04.52</td><td>F702W</td><td>5000</td><td>6557/Steidel</td></tr>
  <tr><td>Q 1246 - 057</td><td>12:49:13.800</td><td>- 05:59:18.00</td><td>F702W</td><td>4600</td><td>5984/Steidel</td></tr>
  <tr><td>Q 1317 + 277</td><td>13:19:56.316</td><td>+ 27:28:08.60</td><td>F702W</td><td>4700</td><td>5984/Steidel</td></tr>
  <tr><td>Q 1332 + 552</td><td>13:34:11.700</td><td>+ 55:01:25.00</td><td>F702W</td><td>2800</td><td>6557/Steidel</td></tr>
  <tr><td>Q 1354 + 195</td><td>13:57:04.437</td><td>+ 19:19:07.37</td><td>F702W</td><td>2400</td><td>5949/Lanzetta</td></tr>
  <tr><td>Q 1424 - 118</td><td>14:27:38.100</td><td>- 12:03:50.00</td><td>F702W</td><td>2100</td><td>6619/Lanzetta</td></tr>
  <tr><td>Q 1511 + 103</td><td>15:13:29.319</td><td>+ 10:11:05.53</td><td>F702W</td><td>5000</td><td>6557/Steidel</td></tr>
  <tr><td>Q 1622 + 235</td><td>16:24:39.090</td><td>+ 23:45:12.20</td><td>F702W</td><td>24,000</td><td>5304/Steidel</td></tr>
  <tr><td>Q 1623 + 268</td><td>16:25:48.793</td><td>+ 26:46:58.76</td><td>F702W</td><td>4600</td><td>5984/Steidel</td></tr>
  <tr><td>Q 2128 - 123</td><td>21:31:35.262</td><td>- 12:07:04.80</td><td>F702W</td><td>1800</td><td>5143/Mecchetto</td></tr>
  <tr><td>Q 2206 - 199</td><td>22:08:52.000</td><td>- 19:43:59.00</td><td>F702W</td><td>5000</td><td>6557/Steidel</td></tr>
</table>
