<table>
  <caption>The spectral indices γ and absolute flux normalization ϕ 0 for the various elements with nuclear charge number Z . We can see that the spectral index for Hydrogen is close to 2.74, and for all the other elements (except Li, Be and B which are spallation products) it is close to 2.67 [ wiebel ] .</caption>
  <tr><th>Element</th><th>Z</th><th>φ_(0) [m ^((2)) s sr TeV/nucleus] ^((-1))</th><th>γ</th><th>{χ^(2)df</th></tr>
  <tr><td>H</td><td>1</td><td>(10.57± 0.30)· 10^(-2)</td><td>2.76± 0.02</td><td>0.70</td></tr>
  <tr><td>He</td><td>2</td><td>(6.73± 0.20)· 10^(-2)</td><td>2.63± 0.02</td><td>2.10</td></tr>
  <tr><td>Li</td><td>3</td><td>(2.08± 0.51)· 10^(-3)</td><td>2.54± 0.09</td><td>0.90</td></tr>
  <tr><td>Be</td><td>4</td><td>(4.74± 0.48)· 10^(-4)</td><td>2.75± 0.04</td><td>0.37</td></tr>
  <tr><td>B</td><td>5</td><td>(8.95± 0.79)· 10^(-4)</td><td>2.95± 0.05</td><td>0.45</td></tr>
  <tr><td>C</td><td>6</td><td>(1.06± 0.01)· 10^(-2)</td><td>2.66± 0.02</td><td>1.42</td></tr>
  <tr><td>N</td><td>7</td><td>(2.35± 0.08)· 10^(-3)</td><td>2.72± 0.05</td><td>1.91</td></tr>
  <tr><td>O</td><td>8</td><td>(1.57± 0.04)· 10^(-2)</td><td>2.68± 0.03</td><td>1.70</td></tr>
  <tr><td>F</td><td>9</td><td>(3.28± 0.48)· 10^(-4)</td><td>2.69± 0.08</td><td>0.47</td></tr>
  <tr><td>Ne</td><td>10</td><td>(4.60± 0.10)· 10^(-3)</td><td>2.64± 0.03</td><td>3.14</td></tr>
  <tr><td>Na</td><td>11</td><td>(7.54± 0.33)· 10^(-4)</td><td>2.66± 0.04</td><td>0.36</td></tr>
  <tr><td>Mg</td><td>12</td><td>(8.01± 0.26)· 10^(-3)</td><td>2.64± 0.04</td><td>0.10</td></tr>
  <tr><td>Al</td><td>13</td><td>(1.15± 0.15)· 10^(-3)</td><td>2.66± 0.04</td><td>1.24</td></tr>
  <tr><td>Si</td><td>14</td><td>(7.96± 0.15)· 10^(-3)</td><td>2.75± 0.04</td><td>0.10</td></tr>
  <tr><td>Mn</td><td>25</td><td>(1.35± 0.14)· 10^(-3)</td><td>2.46± 0.22</td><td>5.38</td></tr>
  <tr><td>Fe</td><td>26</td><td>(1.78± 0.18)· 10^(-2)</td><td>2.60± 0.09</td><td>1.81</td></tr>
</table>
