<table>
  <caption>Derived parameters for 142 pulsars discovered in this phase of the Parkes multibeam pulsar survey. Listed are the base-10 logarithms of characteristic age (yr), the surface dipole magnetic field strength (G), the loss in rotational energy (erg s - 1 ), the DM-derived distance using the Taylor & Cordes (1993) model, D TC (kpc), and the Cordes & Lazio (2001) model, D CL (kpc), the corresponding z heights, z T ⁢ C and z C ⁢ L (both in kpc), and the inferred radio luminosity at 1400 MHz for each distance estimate L T ⁢ C and L C ⁢ L (both in mJy kpc 2 ).</caption>
  <tr><th>PSR J</th><th>[τ_(c)]</th><th>[B]</th><th>[]</th><th>D_(TC)</th><th>D_(CL)</th><th>z_(TC)</th><th>z_(CL)</th><th>L_(TC)</th><th>L_(CL)</th></tr>
  <tr><td>0733 - 2345</td><td>6.70</td><td>12.51</td><td>31.59</td><td>12.03</td><td>8.04</td><td>-0.43</td><td>-0.28</td><td>10.1</td><td>4.5</td></tr>
  <tr><td>0932 - 5327</td><td>6.92</td><td>12.79</td><td>30.59</td><td>3.91</td><td>2.31</td><td>-0.09</td><td>-0.06</td><td>2.3</td><td>0.8</td></tr>
  <tr><td>1001 - 5939</td><td>6.31</td><td>13.34</td><td>30.71</td><td>3.31</td><td>2.76</td><td>-0.20</td><td>-0.17</td><td>1.6</td><td>1.1</td></tr>
  <tr><td>1020 - 6026</td><td>5.52</td><td>11.99</td><td>34.98</td><td>30.00</td><td>12.19</td><td>-1.49</td><td>-0.61</td><td>126.0</td><td>20.8</td></tr>
  <tr><td>1107 - 5907</td><td>8.65</td><td>10.68</td><td>31.34</td><td>1.81</td><td>1.28</td><td>0.04</td><td>0.02</td><td>0.6</td><td>0.3</td></tr>
  <tr><td>1125 - 6014</td><td>10.02</td><td>8.02</td><td>33.94</td><td>1.94</td><td>1.50</td><td>0.03</td><td>0.02</td><td>0.2</td><td>0.1</td></tr>
  <tr><td>1148 - 5725</td><td>6.71</td><td>12.80</td><td>30.99</td><td>6.95</td><td>3.75</td><td>0.54</td><td>0.29</td><td>5.8</td><td>1.7</td></tr>
  <tr><td>1216 - 6410</td><td>10.54</td><td>7.88</td><td>33.15</td><td>1.71</td><td>1.33</td><td>-0.05</td><td>-0.04</td><td>0.1</td><td>0.1</td></tr>
  <tr><td>1308 - 5844</td><td>5.93</td><td>12.31</td><td>33.53</td><td>8.92</td><td>4.59</td><td>0.63</td><td>0.32</td><td>16.7</td><td>4.4</td></tr>
  <tr><td>1355 - 5747</td><td>7.66</td><td>12.09</td><td>30.52</td><td>7.57</td><td>5.08</td><td>0.53</td><td>0.36</td><td>20.6</td><td>9.3</td></tr>
  <tr><td>1357 - 6429</td><td>3.86</td><td>12.89</td><td>36.49</td><td>4.03</td><td>2.47</td><td>-0.18</td><td>-0.11</td><td>7.1</td><td>2.7</td></tr>
  <tr><td>1405 - 5641</td><td>6.91</td><td>11.94</td><td>32.30</td><td>21.25</td><td>6.73</td><td>1.76</td><td>0.56</td><td>45.2</td><td>4.5</td></tr>
  <tr><td>1439 - 5501</td><td>9.51</td><td>9.31</td><td>32.38</td><td>0.76</td><td>0.60</td><td>0.06</td><td>0.05</td><td>0.2</td><td>0.2</td></tr>
  <tr><td>1519 - 5734</td><td>6.28</td><td>12.18</td><td>33.08</td><td>13.07</td><td>8.81</td><td>-0.05</td><td>-0.04</td><td>76.9</td><td>34.9</td></tr>
  <tr><td>1519 - 6106</td><td>6.61</td><td>12.63</td><td>31.52</td><td>7.18</td><td>4.35</td><td>-0.40</td><td>-0.24</td><td>9.8</td><td>3.6</td></tr>
  <tr><td>1538 - 5732</td><td>6.08</td><td>12.10</td><td>33.65</td><td>3.88</td><td>2.83</td><td>-0.11</td><td>-0.08</td><td>5.3</td><td>2.8</td></tr>
  <tr><td>1558 - 5756</td><td>4.98</td><td>13.16</td><td>33.72</td><td>3.74</td><td>2.50</td><td>-0.23</td><td>-0.16</td><td>2.7</td><td>1.2</td></tr>
  <tr><td>1600 - 5916</td><td>7.35</td><td>12.03</td><td>31.26</td><td>6.47</td><td>3.73</td><td>-0.54</td><td>-0.31</td><td>13.8</td><td>4.6</td></tr>
  <tr><td>1604 - 4718</td><td>6.23</td><td>12.21</td><td>33.11</td><td>1.48</td><td>2.14</td><td>0.10</td><td>0.14</td><td>0.5</td><td>1.0</td></tr>
  <tr><td>1611 - 5847</td><td>9.45</td><td>10.43</td><td>30.26</td><td>2.32</td><td>1.70</td><td>-0.22</td><td>-0.16</td><td>0.6</td><td>0.3</td></tr>
  <tr><td>1617 - 4608</td><td>5.74</td><td>12.49</td><td>33.56</td><td>10.98</td><td>6.07</td><td>0.60</td><td>0.33</td><td>18.1</td><td>5.5</td></tr>
  <tr><td>1622 - 4347</td><td>6.16</td><td>12.19</td><td>33.32</td><td>5.42</td><td>3.51</td><td>0.40</td><td>0.26</td><td>5.3</td><td>2.2</td></tr>
  <tr><td>1624 - 4411</td><td>6.66</td><td>11.64</td><td>33.40</td><td>3.66</td><td>2.70</td><td>0.23</td><td>0.17</td><td>6.4</td><td>3.5</td></tr>
