<table>
  <caption>Distribution R ν ⁢ ( \bm ⁢ n ) used for the simulations in \sref sec:validation with M = 3 and Λ = 7 .</caption>
  <tr><td>Group type</td><td>Composition</td><td>Probability</td></tr>
  <tr><td></td><td>=(n_(1),n_(2),n_(3))</td><td>R_(ν)()</td></tr>
  <tr><td rowspan="12">Households</td><td>(2,0,0)</td><td>0.0810</td></tr>
  <tr><td>(1,1,0)</td><td>0.0180</td></tr>
  <tr><td>(0,2,0)</td><td>0.0010</td></tr>
  <tr><td>(2,0,1)</td><td>0.1215</td></tr>
  <tr><td>(1,1,1)</td><td>0.0270</td></tr>
  <tr><td>(0,2,1)</td><td>0.0015</td></tr>
  <tr><td>(2,0,2)</td><td>0.3240</td></tr>
  <tr><td>(1,1,2)</td><td>0.0720</td></tr>
  <tr><td>(0,2,2)</td><td>0.0040</td></tr>
  <tr><td>(2,0,3)</td><td>0.2835</td></tr>
  <tr><td>(1,1,3)</td><td>0.0630</td></tr>
  <tr><td>(0,2,3)</td><td>0.0035</td></tr>
  <tr><td rowspan="3">Schools</td><td>(5,0,50)</td><td>0.2500</td></tr>
  <tr><td>(10,0,100)</td><td>0.5000</td></tr>
  <tr><td>(15,0,150)</td><td>0.2500</td></tr>
  <tr><td rowspan="5">Workplaces</td><td>(10,0,0)</td><td>0.1000</td></tr>
  <tr><td>(20,0,0)</td><td>0.2500</td></tr>
  <tr><td>(30,0,0)</td><td>0.3000</td></tr>
  <tr><td>(40,0,0)</td><td>0.2500</td></tr>
  <tr><td>(50,0,0)</td><td>0.1000</td></tr>
  <tr><td>Hospitals</td><td>(0,300,0)</td><td>1.0000</td></tr>
  <tr><td>Friendships</td><td>(0,0,5)</td><td>1.0000</td></tr>
  <tr><td>Directed edges (1 → 2)</td><td>(1,1,0)</td><td>1.0000</td></tr>
  <tr><td>Directed edges (3 → 2)</td><td>(0,1,1)</td><td>1.0000</td></tr>
</table>
