<table>
  <caption>Table of on-source counts, scaled background level ( α × N off according to the notation of ) and γ -ray excess events for the new sources of \vhe \grs detected in the survey of the Galactic Plane. The on-counts are calculated by counting events within a circle of radius θ = 0.22 ∘ centered on the position of the source. The background counts are derived by counting events in a ring around the source position with average radius 0.6 \dg multiplied with the normalisation factor α ∼ 1 / 7 that takes into account the difference in the acceptance and the area between the on-source and the background region.</caption>
  <tr><td>Name</td><td>On-counts</td><td>Scaled Background</td><td>Excess</td></tr>
  <tr><td>HESS J1614–518</td><td>517</td><td>283</td><td>234</td></tr>
  <tr><td>HESS J1616–508</td><td>766</td><td>356</td><td>410</td></tr>
  <tr><td>HESS J1632–478</td><td>232</td><td>139</td><td>93</td></tr>
  <tr><td>HESS J1634–472</td><td>275</td><td>175</td><td>100</td></tr>
  <tr><td>HESS J1640–465</td><td>611</td><td>298</td><td>313</td></tr>
  <tr><td>HESS J1702–420</td><td>311</td><td>210</td><td>101</td></tr>
  <tr><td>HESS J1708–410</td><td>955</td><td>728</td><td>227</td></tr>
  <tr><td>HESS J1713–381</td><td>917</td><td>728</td><td>189</td></tr>
  <tr><td>HESS J1745–303</td><td>1138</td><td>927</td><td>211</td></tr>
  <tr><td>HESS J1804–216</td><td>887</td><td>508</td><td>379</td></tr>
  <tr><td>HESS J1813–178</td><td>717</td><td>374</td><td>343</td></tr>
  <tr><td>HESS J1825–137</td><td>406</td><td>232</td><td>174</td></tr>
  <tr><td>HESS J1834–087</td><td>478</td><td>287</td><td>191</td></tr>
  <tr><td>HESS J1837–069</td><td>622</td><td>328</td><td>294</td></tr>
</table>
