<table>
  <caption>Mass, radius, and central density for neutron star models with Q / G ⁢ μ = 0.97 .</caption>
  <tr><th>Model</th><th>Radius</th><th>Mass</th><th>Density</th></tr>
  <tr><td></td><th>[km]</th><th>M_()</th><th>[ g\,cm^(-3) ]</th></tr>
  <tr><td>1</td><td>204.307</td><td>2.964</td><td>1.000×\,10^(12)</td></tr>
  <tr><td>2</td><td>187.353</td><td>3.606</td><td>1.589×\,10^(12)</td></tr>
  <tr><td>3</td><td>171.069</td><td>4.338</td><td>2.525×\,10^(12)</td></tr>
  <tr><td>4</td><td>154.482</td><td>5.144</td><td>4.013×\,10^(12)</td></tr>
  <tr><td>5</td><td>140.106</td><td>5.991</td><td>6.377×\,10^(12)</td></tr>
  <tr><td>6</td><td>125.026</td><td>6.830</td><td>1.013×\,10^(13)</td></tr>
  <tr><td>7</td><td>111.394</td><td>7.594</td><td>1.610×\,10^(13)</td></tr>
  <tr><td>8</td><td>98.495</td><td>8.208</td><td>2.559×\,10^(13)</td></tr>
  <tr><td>9</td><td>85.966</td><td>8.603</td><td>4.067×\,10^(13)</td></tr>
  <tr><td>10</td><td>75.006</td><td>8.734</td><td>6.463×\,10^(13)</td></tr>
  <tr><td>11</td><td>64.658</td><td>8.590</td><td>1.027×\,10^(14)</td></tr>
  <tr><td>12</td><td>55.735</td><td>8.194</td><td>1.632×\,10^(14)</td></tr>
  <tr><td>13</td><td>47.761</td><td>7.599</td><td>2.593×\,10^(14)</td></tr>
  <tr><td>14</td><td>40.928</td><td>6.874</td><td>4.121×\,10^(14)</td></tr>
  <tr><td>15</td><td>35.073</td><td>6.085</td><td>6.549×\,10^(14)</td></tr>
  <tr><td>16</td><td>30.232</td><td>5.293</td><td>1.041×\,10^(15)</td></tr>
  <tr><td>17</td><td>26.512</td><td>4.541</td><td>1.654×\,10^(15)</td></tr>
  <tr><td>18</td><td>23.498</td><td>3.861</td><td>2.628×\,10^(15)</td></tr>
  <tr><td>19</td><td>21.359</td><td>3.272</td><td>4.177×\,10^(15)</td></tr>
  <tr><td>20</td><td>20.114</td><td>2.782</td><td>6.637×\,10^(15)</td></tr>
  <tr><td>21</td><td>19.849</td><td>2.399</td><td>1.055×\,10^(16)</td></tr>
  <tr><td>22</td><td>20.858</td><td>2.135</td><td>1.676×\,10^(16)</td></tr>
  <tr><td>23</td><td>23.870</td><td>2.018</td><td>2.663×\,10^(16)</td></tr>
  <tr><td>24</td><td>29.138</td><td>2.102</td><td>4.232×\,10^(16)</td></tr>
  <tr><td>25</td><td>35.184</td><td>2.420</td><td>6.726×\,10^(16)</td></tr>
  <tr><td>26</td><td>38.527</td><td>2.835</td><td>1.069×\,10^(17)</td></tr>
  <tr><td>27</td><td>38.479</td><td>3.128</td><td>1.698×\,10^(17)</td></tr>
  <tr><td>28</td><td>36.825</td><td>3.236</td><td>2.699×\,10^(17)</td></tr>
  <tr><td>29</td><td>34.905</td><td>3.210</td><td>4.289×\,10^(17)</td></tr>
  <tr><td>30</td><td>33.329</td><td>3.120</td><td>6.816×\,10^(17)</td></tr>
  <tr><td>31</td><td>32.310</td><td>3.014</td><td>1.083×\,10^(18)</td></tr>
  <tr><td>32</td><td>31.826</td><td>2.923</td><td>1.721×\,10^(18)</td></tr>
  <tr><td>33</td><td>31.805</td><td>2.861</td><td>2.735×\,10^(18)</td></tr>
  <tr><td>34</td><td>32.105</td><td>2.833</td><td>4.347×\,10^(18)</td></tr>
  <tr><td>35</td><td>32.551</td><td>2.833</td><td>6.907×\,10^(18)</td></tr>
  <tr><td>36</td><td>32.978</td><td>2.853</td><td>1.098×\,10^(19)</td></tr>
  <tr><td>37</td><td>33.280</td><td>2.880</td><td>1.744×\,10^(19)</td></tr>
  <tr><td>38</td><td>33.423</td><td>2.904</td><td>2.772×\,10^(19)</td></tr>
  <tr><td>39</td><td>33.423</td><td>2.921</td><td>4.405×\,10^(19)</td></tr>
  <tr><td>40</td><td>33.342</td><td>2.928</td><td>7.000×\,10^(19)</td></tr>
</table>
