<table>
  <caption>Best-fit parameters with an absorbed bremsstrahlung model of the burst unscattered spectrum.</caption>
  <tr><th>1 Dust model</th><th>N_(H)</th><th>kT a</th><th>F_(burst) b</th><th>E_(burst) c</th><th>χ^(2)_(red) d</th></tr>
  <tr><td></td><th>(cm ^((-2)) )</th><th>(keV)</th><th>(erg cm ^((-2)) )</th><th>(erg)</th><td></td></tr>
  <tr><td>bare-gr-b</td><td>4.5 × 10 ^((22))</td><td>30</td><td>0.0050</td><td>1.0 × 10 ^((44))</td><td>1.02</td></tr>
  <tr><td></td><td>4.2 × 10 ^((22))</td><td>100</td><td>0.0050</td><td>1.9 × 10 ^((44))</td><td>0.17</td></tr>
  <tr><td>bare-gr-s</td><td>4.5 × 10 ^((22))</td><td>30</td><td>0.0039</td><td>1.2 × 10 ^((44))</td><td>0.99</td></tr>
  <tr><td></td><td>4.2 × 10 ^((22))</td><td>100</td><td>0.0039</td><td>2.2 × 10 ^((44))</td><td>0.17</td></tr>
  <tr><td>bare-gr-fg</td><td>4.5 × 10 ^((22))</td><td>30</td><td>0.0038</td><td>1.2 × 10 ^((44))</td><td>1.27</td></tr>
  <tr><td></td><td>4.2 × 10 ^((22))</td><td>100</td><td>0.0038</td><td>2.2 × 10 ^((44))</td><td>0.30</td></tr>
  <tr><td>comp-gr-b</td><td>4.4 × 10 ^((22))</td><td>30</td><td>0.0045</td><td>1.6 × 10 ^((44))</td><td>0.25</td></tr>
  <tr><td></td><td>4.2 × 10 ^((22))</td><td>100</td><td>0.0045</td><td>3.0 × 10 ^((44))</td><td>0.23</td></tr>
  <tr><td>comp-gr-fg</td><td>4.4 × 10 ^((22))</td><td>30</td><td>0.0034</td><td>2.2 × 10 ^((44))</td><td>0.23</td></tr>
  <tr><td></td><td>4.2 × 10 ^((22))</td><td>100</td><td>0.0034</td><td>4.0 × 10 ^((44))</td><td>0.70</td></tr>
  <tr><td>comp-gr-s</td><td>4.4 × 10 ^((22))</td><td>30</td><td>0.0033</td><td>2.6 × 10 ^((44))</td><td>0.31</td></tr>
  <tr><td></td><td>4.2 × 10 ^((22))</td><td>100</td><td>0.0033</td><td>4.8 × 10 ^((44))</td><td>1.05</td></tr>
  <tr><td>WD01</td><td>4.3 × 10 ^((22))</td><td>30</td><td>0.0020</td><td>1.3 × 10 ^((44))</td><td>0.70</td></tr>
