<table>
  <caption>Radial velocity measurements</caption>
  <tr><th>HJD ^((1))</th><th>RV</th><th>±σ</th><th>BIS</th><th>Instrument</th></tr>
  <tr><th>-2 400 000</th><th>[ ]</th><th>[ ]</th><th>[ ]</th><td></td></tr>
  <tr><td>55546.7731</td><td>-0.104</td><td>0.014</td><td>-0.001</td><td>HARPS ^((2))</td></tr>
  <tr><td>55548.7204</td><td>0.133</td><td>0.015</td><td>0.050</td><td>HARPS ^((2))</td></tr>
  <tr><td>55574.7614</td><td>-0.072</td><td>0.014</td><td>0.016</td><td>HARPS ^((2))</td></tr>
  <tr><td>55576.6662</td><td>0.064</td><td>0.014</td><td>0.005</td><td>HARPS ^((2))</td></tr>
  <tr><td>55577.7475</td><td>-0.128</td><td>0.014</td><td>0.064</td><td>HARPS ^((2))</td></tr>
  <tr><td>55584.7230</td><td>0.050</td><td>0.018</td><td>-0.011</td><td>HARPS ^((2))</td></tr>
  <tr><td>55586.6910</td><td>-0.007</td><td>0.018</td><td>-0.032</td><td>HARPS ^((2))</td></tr>
  <tr><td>55591.7124</td><td>0.134</td><td>0.021</td><td>0.065</td><td>HARPS ^((2))</td></tr>
  <tr><td>55592.5378</td><td>0.022</td><td>0.015</td><td>0.063</td><td>HARPS ^((2))</td></tr>
  <tr><td>55592.5735</td><td>0.054</td><td>0.019</td><td>0.006</td><td>HARPS ^((2))</td></tr>
  <tr><td>55592.6090</td><td>0.007</td><td>0.015</td><td>0.080</td><td>HARPS ^((2))</td></tr>
  <tr><td>55592.6467</td><td>-0.026</td><td>0.015</td><td>0.151</td><td>HARPS ^((2))</td></tr>
  <tr><td>55592.6877</td><td>-0.041</td><td>0.020</td><td>0.007</td><td>HARPS ^((2))</td></tr>
  <tr><td>55593.7185</td><td>-0.141</td><td>0.025</td><td>0.083</td><td>HARPS ^((2))</td></tr>
  <tr><td>55627.5593</td><td>0.001</td><td>0.031</td><td>-0.088</td><td>HARPS ^((2))</td></tr>
  <tr><td>55627.5944</td><td>-0.004</td><td>0.037</td><td>-0.003</td><td>HARPS ^((2))</td></tr>
  <tr><td>55627.6298</td><td>0.059</td><td>0.032</td><td>0.048</td><td>HARPS ^((2))</td></tr>
  <tr><td>55627.6633</td><td>0.023</td><td>0.039</td><td>0.066</td><td>HARPS ^((2))</td></tr>
  <tr><td>55513.6044</td><td>0.239</td><td>0.028</td><td>0.012</td><td>SOPHIE ^((3))</td></tr>
  <tr><td>55519.6156</td><td>-0.099</td><td>0.033</td><td>-0.012</td><td>SOPHIE ^((3))</td></tr>
  <tr><td>55527.6213</td><td>-0.073</td><td>0.041</td><td>0.033</td><td>SOPHIE ^((3))</td></tr>
  <tr><td>55529.5611</td><td>0.096</td><td>0.036</td><td>-0.166</td><td>SOPHIE ^((3))</td></tr>
  <tr><td>55557.4709</td><td>-0.002</td><td>0.034</td><td>-0.071</td><td>SOPHIE ^((3))</td></tr>
  <tr><td>55577.4717</td><td>-0.100</td><td>0.024</td><td>0.036</td><td>SOPHIE ^((3))</td></tr>
  <tr><td>55579.4660</td><td>0.085</td><td>0.047</td><td>-0.085</td><td>SOPHIE ^((3))</td></tr>
  <tr><td>55568.5012</td><td>0.118</td><td>0.028</td><td>0.044</td><td>FIES ^((4))</td></tr>
  <tr><td>55569.5898</td><td>-0.063</td><td>0.035</td><td>0.027</td><td>FIES ^((4))</td></tr>
  <tr><td>55570.4314</td><td>-0.122</td><td>0.032</td><td>0.024</td><td>FIES ^((4))</td></tr>
  <tr><td>55580.4278</td><td>0.076</td><td>0.034</td><td>0.012</td><td>FIES ^((4))</td></tr>
  <tr><td>55581.4217</td><td>-0.077</td><td>0.036</td><td>0.018</td><td>FIES ^((4))</td></tr>
  <tr><td>55585.7638</td><td>-0.107</td><td>0.075</td><td>–</td><td>SANDIFORD ^((5))</td></tr>
  <tr><td>55587.7321</td><td>0.114</td><td>0.068</td><td>–</td><td>SANDIFORD ^((5))</td></tr>
</table>
