<table>
  <caption>Log of the observations</caption>
  <tr><th>6 Date (UT)</th><th>(days) a</th><th>Tel./Instr.</th><th>Filter/Grism</th><th>Exp. (s)</th><th>magnitude</th></tr>
  <tr><td>2003 Feb 26, 08:04</td><td>0.1868</td><td>VLT/ISAAC</td><td>K_(s)</td><td>15 × 10</td><td>15.95 ± 0.05</td></tr>
  <tr><td>2003 Feb 26, 08:09</td><td>0.1882</td><td>NTT/EMMI</td><td>V</td><td>3 × 300</td><td>19.09 ± 0.03</td></tr>
  <tr><td>2003 Feb 26, 08:27</td><td>0.2007</td><td>NTT/EMMI</td><td>R</td><td>3 × 300</td><td>18.87 ± 0.03</td></tr>
  <tr><td>2003 Feb 26, 08:29</td><td>0.2024</td><td>VLT/ISAAC</td><td>J_(s)</td><td>10 × 30</td><td>17.56 ± 0.10</td></tr>
  <tr><td>2003 Feb 26, 08:43</td><td>0.2062</td><td>VLT/FORS2</td><td>V</td><td>1 × 10</td><td>19.27 ± 0.05</td></tr>
  <tr><td>2003 Feb 26, 08:46</td><td>0.2139</td><td>NTT/EMMI</td><td>B</td><td>3 × 300</td><td>19.76 ± 0.03</td></tr>
  <tr><td>2003 Feb 26, 08:52</td><td>0.2173</td><td>VLT/FORS2</td><td>300V</td><td>1 × 900</td><td></td></tr>
  <tr><td>2003 Feb 26, 08:49</td><td>0.2180</td><td>VLT/ISAAC</td><td>H</td><td>15 × 12</td><td>17.02 ± 0.10</td></tr>
  <tr><td>2003 Feb 26, 09:51</td><td>0.2569</td><td>UKIRT/UFTI</td><td>K</td><td>9 × 60</td><td>16.39 ± 0.05</td></tr>
  <tr><td>2003 Feb 26, 10:04</td><td>0.2666</td><td>UKIRT/UFTI</td><td>J</td><td>11 × 60</td><td>17.91 ± 0.10</td></tr>
  <tr><td>2003 Feb 26, 10:17</td><td>0.2746</td><td>UKIRT/UFTI</td><td>H</td><td>9 × 60</td><td>17.29 ± 0.10</td></tr>
  <tr><td>2003 Feb 26, 12:12</td><td>0.3545</td><td>UKIRT/UFTI</td><td>K</td><td>9 × 60</td><td>16.69 ± 0.05</td></tr>
  <tr><td>2003 Feb 26, 12:23</td><td>0.3621</td><td>UKIRT/UFTI</td><td>J</td><td>9 × 60</td><td>18.16 ± 0.10</td></tr>
  <tr><td>2003 Feb 26, 12:34</td><td>0.3698</td><td>UKIRT/UFTI</td><td>H</td><td>9 × 60</td><td>17.42 ± 0.10</td></tr>
  <tr><td>2003 Feb 26, 18:19</td><td>0.6194</td><td>Wendelstein</td><td>I</td><td>3 × 600</td><td>19.37 ± 0.07</td></tr>
  <tr><td>2003 Feb 26, 19:04</td><td>0.6444</td><td>Wendelstein</td><td>R</td><td>2 × 600</td><td>19.90 ± 0.05</td></tr>
  <tr><td>2003 Feb 26, 19:27</td><td>0.6604</td><td>Wendelstein</td><td>V</td><td>2 × 600</td><td>20.19 ± 0.06</td></tr>
  <tr><td>2003 Feb 26, 19:50</td><td>0.6746</td><td>Wendelstein</td><td>B</td><td>2 × 600</td><td>20.56 ± 0.07</td></tr>
  <tr><td>2003 Feb 26, 22:29</td><td>0.7795</td><td>JKT</td><td>R</td><td>1 × 1200</td><td>20.22 ± 0.03</td></tr>
  <tr><td>2003 Feb 26, 22:43</td><td>0.8035</td><td>Asiago</td><td>B</td><td>2 × 1200</td><td>21.04 ± 0.03</td></tr>
  <tr><td>2003 Feb 26, 23:07</td><td>0.8076</td><td>NOT/ALFOSC</td><td>V</td><td>1 × 300</td><td>20.67 ± 0.02</td></tr>
  <tr><td>2003 Feb 26, 23:13</td><td>0.8104</td><td>NOT/ALFOSC</td><td>U</td><td>1 × 600</td><td>20.81 ± 0.03</td></tr>
  <tr><td>2003 Feb 26, 23:26</td><td>0.8298</td><td>Asiago</td><td>V</td><td>2 × 900</td><td>20.73 ± 0.02</td></tr>
  <tr><td>2003 Feb 26, 23:38</td><td>0.8437</td><td>Tautenburg</td><td>I</td><td>15 × 120</td><td>20.01 ± 0.08</td></tr>
