<table>
  <caption>Relevant multiple image gravitational lens systems.</caption>
  <tr><th>Lens system</th><th>Δ [1]</th><th>z_(S)</th></tr>
  <tr><th>PG1115 [2]</th><th>2.3</th><th>1.72</th></tr>
  <tr><td>Q2237 [2]</td><td>1.8</td><td>1.69</td></tr>
  <tr><td>Q0142 [2]</td><td>2.2</td><td>2.72</td></tr>
  <tr><td>H1413 [2]</td><td>1.1</td><td>2.55</td></tr>
  <tr><td>MG2016 [3]</td><td>3.8</td><td>3.27</td></tr>
  <tr><td>Q0957 [4]</td><td>6.1</td><td>1.41</td></tr>
  <tr><td>MG0414 [5]</td><td>3.0</td><td>2.64</td></tr>
  <tr><td>B1422 [5]</td><td>1.3</td><td>3.62</td></tr>
  <tr><td>Q1208 [6]</td><td>.47</td><td>3.80</td></tr>
  <tr><td>MG1131 [7]</td><td>2.1</td><td>1.13?</td></tr>
  <tr><td>MG1654 [7]</td><td>2.1</td><td>1.74</td></tr>
</table>
