<table>
  <caption>Magnetic field strength B ⋆ = B / B c for the appearance (+) or the disappearance (-) of a nuclide in the the outer crust of a cold non-accreting neutron star.</caption>
  <tr><th>Nuclide</th><th>B_()</th></tr>
  <tr><th>^((58)) Fe(-)</th><td>9</td></tr>
  <tr><th>^((66)) Ni(-)</th><td>67</td></tr>
  <tr><th>^((88)) Sr(+)</th><td>859</td></tr>
  <tr><th>^((126)) Ru(+)</th><td>1118</td></tr>
  <tr><th>^((128)) Pd(+)</th><td>1120</td></tr>
  <tr><th>^((78)) Ni(-)</th><td>1120</td></tr>
  <tr><th>^((80)) Ni(-)</th><td>1250</td></tr>
  <tr><th>^((64)) Ni(-)</th><td>1668</td></tr>
  <tr><th>^((79)) Cu(-)</th><td>1791</td></tr>
  <tr><th>^((130)) Cd(+)</th><td>1804</td></tr>
  <tr><th>^((132)) Sn(+)</th><td>1987</td></tr>
</table>
