<table>
  <caption>Complex refractive indices for impure SiC, applicable for either 3C ( β ) or 6H ( α ) E → ⊥ c → polarization (ordinary ray) ∗</caption>
  <tr><th>Wavenumber</th><th>n</th><th>k</th></tr>
  <tr><th>(cm ^((-1)) )</th><th></th><td></td></tr>
  <tr><td>4000.0</td><td>2.5574</td><td>6.0687 × 10^(-5)</td></tr>
  <tr><td>4001.0</td><td>2.5574</td><td>6.0676 × 10^(-5)</td></tr>
  <tr><td>4051.0</td><td>2.5575</td><td>6.0984 × 10^(-5)</td></tr>
  <tr><td>4101.0</td><td>2.5576</td><td>6.1292 × 10^(-5)</td></tr>
  <tr><td>4151.0</td><td>2.5578</td><td>6.1599 × 10^(-5)</td></tr>
  <tr><td>4201.0</td><td>2.5579</td><td>6.1907 × 10^(-5)</td></tr>
  <tr><td>4251.0</td><td>2.5580</td><td>6.2215 × 10^(-5)</td></tr>
  <tr><td>4301.0</td><td>2.5581</td><td>6.2523 × 10^(-5)</td></tr>
  <tr><td>4351.0</td><td>2.5583</td><td>6.2830 × 10^(-5)</td></tr>
  <tr><td>4401.0</td><td>2.5584</td><td>6.3138 × 10^(-5)</td></tr>
</table>
