<table>
  <caption>Summary of scalings for brain capillaries and hemodynamics against cortical gray matter volume V .</caption>
  <tr><th>Parameter</th><th>Scaling rule</th></tr>
  <tr><th>Capillary radius, R_(c)</th><td>R_(c)~ V^(1/12)</td></tr>
  <tr><th>Capillary length density, ρ_(c)</th><td>ρ_(c)~ V^(-1/6)</td></tr>
  <tr><th>Capillary volume fraction, f_(c)</th><td>f_(c)~ V^(0)</td></tr>
  <tr><th>Total capillary number, N_(c)</th><td>N_(c)~ V^(2/3-γ/24)</td></tr>
  <tr><th>Capillary segment length, L_(c)</th><td>L_(c)~ V^(1/6+γ/24)</td></tr>
  <tr><th>Capillary blood velocity, u_(c)</th><td>u_(c)~ V^(γ/24)</td></tr>
  <tr><th>Capillary transit time, τ_(c)</th><td>τ_(c)~ V^(1/6)</td></tr>
  <tr><th>Capillary oxygen pressure, p_(O2)</th><td>p_(O2)~ V^(0)</td></tr>
  <tr><th>Capillary length per neuron, ρ_(c)/ρ_(n)</th><td>ρ_(c)/ρ_(n)~ V^(0)</td></tr>
  <tr><th>Cerebral blood flow, CBF</th><td>~ V^(-1/6)</td></tr>
  <tr><th>Blood flow per neuron, /ρ_(n)</th><td>/ρ_(n)~ V^(0)</td></tr>
  <tr><th>Oxygen consumption rate, _(O2)</th><td>_(O2)~ V^(-1/6)</td></tr>
  <tr><th>Oxygen use per neuron, _(O2)/ρ_(n)</th><td>_(O2)/ρ_(n)~ V^(0)</td></tr>
</table>
