<table>
  <caption>Lines used in the abundance analysis. Column description (left to right): Atomic element, wavelength, excitation energy, oscillator strength according to VALD, measured equivalent width from the Kitt Peak Solar Atlas, comments.</caption>
  <tr><th>Elem.</th><th>λ [Å]</th><th>χ [eV]</th><th>gf</th><th>W _(eq\,\,) [mÅ]</th><th></th></tr>
  <tr><td>Li I</td><td>6707.761</td><td>0.00</td><td>0.167</td><td>4.1</td><td>synth</td></tr>
  <tr><td>C I</td><td>5380.337</td><td>7.68</td><td>- 1.842</td><td>23.8</td><td>b</td></tr>
  <tr><td>O I</td><td>6158.186</td><td>10.74</td><td>- 0.409</td><td>4.8</td><td>siu</td></tr>
  <tr><td>O I</td><td>6300.304</td><td>0.00</td><td>- 9.819</td><td>6.2</td><td>siu</td></tr>
  <tr><td>Na I</td><td>6154.226</td><td>2.10</td><td>- 1.560</td><td>40.6</td><td>b</td></tr>
  <tr><td>Na I</td><td>6160.747</td><td>2.10</td><td>- 1.260</td><td>62.2</td><td>b</td></tr>
  <tr><td>Mg I</td><td>5711.088</td><td>4.35</td><td>- 1.833</td><td>108.0</td><td>s</td></tr>
  <tr><td>Mg I</td><td>5183.604</td><td>2.72</td><td>- 0.180</td><td></td><td>s,synth</td></tr>
  <tr><td>Al I</td><td>6696.185</td><td>4.02</td><td>- 1.576</td><td>39.4</td><td>b</td></tr>
  <tr><td>Al I</td><td>6698.673</td><td>3.14</td><td>- 1.647</td><td>22.4</td><td>b</td></tr>
  <tr><td>Si I</td><td>5665.555</td><td>4.92</td><td>- 2.040</td><td>42.9</td><td></td></tr>
  <tr><td>Si I</td><td>5690.425</td><td>4.93</td><td>- 1.870</td><td>53.3</td><td></td></tr>
  <tr><td>Si I</td><td>6125.021</td><td>5.61</td><td>- 1.464</td><td>35.2</td><td></td></tr>
  <tr><td>Si I</td><td>6131.852</td><td>5.62</td><td>- 1.615</td><td>26.0</td><td>b</td></tr>
  <tr><td>Si I</td><td>6721.848</td><td>5.86</td><td>- 1.516</td><td>49.7</td><td></td></tr>
  <tr><td>S I</td><td>6046.027</td><td>7.87</td><td>- 1.030</td><td>11.6</td><td>b</td></tr>
  <tr><td>S I</td><td>6052.674</td><td>7.87</td><td>- 0.740</td><td>13.4</td><td></td></tr>
  <tr><td>S I</td><td>6757.171</td><td>7.87</td><td>- 0.310</td><td>15.6</td><td>b</td></tr>
  <tr><td>Ca I</td><td>5590.114</td><td>2.52</td><td>- 0.571</td><td>96.2</td><td>b,s</td></tr>
  <tr><td>Ca I</td><td>5867.562</td><td>2.93</td><td>- 1.570</td><td>27.9</td><td></td></tr>
  <tr><td>Ca I</td><td>6166.439</td><td>2.52</td><td>- 1.142</td><td>73.8</td><td>s</td></tr>
  <tr><td>Ca I</td><td>6169.042</td><td>2.52</td><td>- 0.797</td><td>100.2</td><td>b,s</td></tr>
  <tr><td>Sc II</td><td>5684.202</td><td>1.51</td><td>- 1.074</td><td>39.4</td><td>b</td></tr>
  <tr><td>Sc II</td><td>6245.637</td><td>1.51</td><td>- 1.030</td><td>36.6</td><td>b</td></tr>
  <tr><td>Ti I</td><td>5219.702</td><td>0.02</td><td>- 2.292</td><td>30.2</td><td>b</td></tr>
  <tr><td>Ti I</td><td>6126.216</td><td>1.07</td><td>- 1.425</td><td>24.1</td><td></td></tr>
  <tr><td>Ti I</td><td>6258.102</td><td>1.44</td><td>- 0.355</td><td>52.9</td><td></td></tr>
  <tr><td>Ti II</td><td>5490.690</td><td>1.57</td><td>- 2.430</td><td>23.6</td><td></td></tr>
  <tr><td>Ti II</td><td>6491.561</td><td>2.06</td><td>- 1.793</td><td>41.4</td><td>b</td></tr>
  <tr><td>V I</td><td>5670.853</td><td>1.08</td><td>- 0.420</td><td>20.3</td><td></td></tr>
  <tr><td>V I</td><td>6090.214</td><td>1.08</td><td>- 0.062</td><td>35.7</td><td></td></tr>
