<table>
  <caption>Mass, radius, and central density for neutron star models with zero charge.</caption>
  <tr><th>Model</th><th>Radius</th><th>Mass</th><th>Density</th></tr>
  <tr><td></td><th>[km]</th><th>M_()</th><th>[ g\,cm^(-3) ]</th></tr>
  <tr><td>1</td><td>46.735</td><td>0.035</td><td>1.000×\,10^(12)</td></tr>
  <tr><td>2</td><td>43.117</td><td>0.044</td><td>1.589×\,10^(12)</td></tr>
  <tr><td>3</td><td>39.579</td><td>0.055</td><td>2.525×\,10^(12)</td></tr>
  <tr><td>4</td><td>37.297</td><td>0.069</td><td>4.013×\,10^(12)</td></tr>
  <tr><td>5</td><td>33.892</td><td>0.087</td><td>6.377×\,10^(12)</td></tr>
  <tr><td>6</td><td>31.526</td><td>0.109</td><td>1.013×\,10^(13)</td></tr>
  <tr><td>7</td><td>29.143</td><td>0.135</td><td>1.610×\,10^(13)</td></tr>
  <tr><td>8</td><td>26.796</td><td>0.168</td><td>2.559×\,10^(13)</td></tr>
  <tr><td>9</td><td>24.525</td><td>0.208</td><td>4.067×\,10^(13)</td></tr>
  <tr><td>10</td><td>22.801</td><td>0.255</td><td>6.463×\,10^(13)</td></tr>
  <tr><td>11</td><td>20.686</td><td>0.309</td><td>1.027×\,10^(14)</td></tr>
  <tr><td>12</td><td>19.037</td><td>0.372</td><td>1.632×\,10^(14)</td></tr>
  <tr><td>13</td><td>17.156</td><td>0.439</td><td>2.593×\,10^(14)</td></tr>
  <tr><td>14</td><td>15.664</td><td>0.510</td><td>4.121×\,10^(14)</td></tr>
  <tr><td>15</td><td>14.042</td><td>0.579</td><td>6.549×\,10^(14)</td></tr>
  <tr><td>16</td><td>12.739</td><td>0.640</td><td>1.041×\,10^(15)</td></tr>
  <tr><td>17</td><td>11.220</td><td>0.686</td><td>1.654×\,10^(15)</td></tr>
  <tr><td>18</td><td>10.004</td><td>0.712</td><td>2.628×\,10^(15)</td></tr>
  <tr><td>19</td><td>8.795</td><td>0.715</td><td>4.177×\,10^(15)</td></tr>
  <tr><td>20</td><td>7.823</td><td>0.696</td><td>6.637×\,10^(15)</td></tr>
  <tr><td>21</td><td>6.867</td><td>0.658</td><td>1.055×\,10^(16)</td></tr>
  <tr><td>22</td><td>6.164</td><td>0.608</td><td>1.676×\,10^(16)</td></tr>
  <tr><td>23</td><td>5.582</td><td>0.552</td><td>2.663×\,10^(16)</td></tr>
  <tr><td>24</td><td>5.195</td><td>0.496</td><td>4.232×\,10^(16)</td></tr>
  <tr><td>25</td><td>4.980</td><td>0.446</td><td>6.726×\,10^(16)</td></tr>
  <tr><td>26</td><td>4.984</td><td>0.406</td><td>1.069×\,10^(17)</td></tr>
  <tr><td>27</td><td>5.209</td><td>0.380</td><td>1.698×\,10^(17)</td></tr>
  <tr><td>28</td><td>5.627</td><td>0.371</td><td>2.699×\,10^(17)</td></tr>
  <tr><td>29</td><td>6.128</td><td>0.379</td><td>4.289×\,10^(17)</td></tr>
  <tr><td>30</td><td>6.493</td><td>0.398</td><td>6.816×\,10^(17)</td></tr>
  <tr><td>31</td><td>6.627</td><td>0.420</td><td>1.083×\,10^(18)</td></tr>
  <tr><td>32</td><td>6.605</td><td>0.436</td><td>1.721×\,10^(18)</td></tr>
  <tr><td>33</td><td>6.480</td><td>0.444</td><td>2.735×\,10^(18)</td></tr>
  <tr><td>34</td><td>6.343</td><td>0.445</td><td>4.347×\,10^(18)</td></tr>
  <tr><td>35</td><td>6.225</td><td>0.441</td><td>6.907×\,10^(18)</td></tr>
  <tr><td>36</td><td>6.148</td><td>0.436</td><td>1.098×\,10^(19)</td></tr>
  <tr><td>37</td><td>6.118</td><td>0.431</td><td>1.744×\,10^(19)</td></tr>
  <tr><td>38</td><td>6.124</td><td>0.427</td><td>2.772×\,10^(19)</td></tr>
  <tr><td>39</td><td>6.151</td><td>0.425</td><td>4.405×\,10^(19)</td></tr>
  <tr><td>40</td><td>6.183</td><td>0.424</td><td>7.000×\,10^(19)</td></tr>
</table>
