<table>
  <caption>FTN optical observations of GRB 060210 calibrated to the Cousins photometric system, uncorrected for Galactic extinction of E ( B - V ) = 0.093 . Magnitude errors are at 1 ⁢ σ level.</caption>
  <tr><td>T_()-T_(0)</td><td>T_()</td><td>Band</td><td>Mag</td></tr>
  <tr><td>(min)</td><td>(min)</td><td></td><td></td></tr>
  <tr><td>65.58</td><td>31.33</td><td>B</td><td>22.10 ^((a))</td></tr>
  <tr><td>5.85</td><td>0.1667</td><td>R</td><td>18.50 ± 0.20</td></tr>
  <tr><td>6.20</td><td>0.1667</td><td>R</td><td>18.36 ± 0.15</td></tr>
  <tr><td>6.55</td><td>0.1667</td><td>R</td><td>18.36 ± 0.15</td></tr>
  <tr><td>11.85</td><td>0.5</td><td>R</td><td>18.51 ± 0.12</td></tr>
  <tr><td>16.35</td><td>1.0</td><td>R</td><td>18.87 ± 0.10</td></tr>
  <tr><td>23.20</td><td>2.0</td><td>R</td><td>19.43 ± 0.10</td></tr>
  <tr><td>33.04</td><td>3.0</td><td>R</td><td>19.74 ± 0.10</td></tr>
  <tr><td>43.25</td><td>2.0</td><td>R</td><td>20.14 ± 0.15</td></tr>
  <tr><td>53.18</td><td>3.0</td><td>R</td><td>19.98 ± 0.15</td></tr>
  <tr><td>72.00</td><td>2.0</td><td>R</td><td>20.57 ± 0.20</td></tr>
  <tr><td>88.84</td><td>5.0</td><td>R</td><td>20.8 ± 0.4</td></tr>
  <tr><td>115.26</td><td>9.0</td><td>R</td><td>21.2 ± 0.3</td></tr>
  <tr><td>167.0</td><td>30.0</td><td>R</td><td>22.4 ± 0.5</td></tr>
  <tr><td>9.43</td><td>0.1667</td><td>I</td><td>16.94 ± 0.08</td></tr>
  <tr><td>13.19</td><td>0.5</td><td>I</td><td>17.20 ± 0.05</td></tr>
  <tr><td>18.11</td><td>1.0</td><td>I</td><td>17.66 ± 0.05</td></tr>
  <tr><td>25.95</td><td>2.0</td><td>I</td><td>18.25 ± 0.06</td></tr>
  <tr><td>36.98</td><td>3.0</td><td>I</td><td>18.56 ± 0.06</td></tr>
  <tr><td>46.00</td><td>2.0</td><td>I</td><td>18.80 ± 0.08</td></tr>
  <tr><td>57.10</td><td>3.0</td><td>I</td><td>19.18 ± 0.08</td></tr>
  <tr><td>70.12</td><td>0.1667</td><td>I</td><td>19.35 ± 0.25</td></tr>
  <tr><td>73.73</td><td>0.5</td><td>I</td><td>19.43 ± 0.20</td></tr>
  <tr><td>78.73</td><td>1.0</td><td>I</td><td>19.55 ± 0.20</td></tr>
  <tr><td>86.41</td><td>2.0</td><td>I</td><td>19.85 ± 0.30</td></tr>
  <tr><td>97.26</td><td>3.0</td><td>I</td><td>20.0 ± 0.3</td></tr>
  <tr><td>106.13</td><td>2.0</td><td>I</td><td>20.2 ± 0.3</td></tr>
  <tr><td>116.97</td><td>3.0</td><td>I</td><td>20.3 ± 0.3</td></tr>
</table>
