<table>
  <caption>Chromospheric emission line identifications</caption>
  <tr><th>ion</th><th>no. lines ^((1))</th><th>ion</th><th>no. lines ^((1))</th></tr>
  <tr><th>H i</th><td>19(19)</td><th>Mg i</th><td>10(6)</td></tr>
  <tr><th>He i</th><td>14(6)</td><th>K ii</th><td>1(0)</td></tr>
  <tr><th>Li ii</th><td>1(0)</td><th>Ca i</th><td>1(0)</td></tr>
  <tr><th>Sc ii</th><td>7(4)</td><th>Ca ii</th><td>7(7)</td></tr>
  <tr><th>Ti i</th><td>3(0)</td><th>C i</th><td>5(4)</td></tr>
  <tr><th>Ti ii</th><td>58(53)</td><th>O i</th><td>3(3)</td></tr>
  <tr><th>V ii</th><td>2(0)</td><th>Ne i</th><td>1(0)</td></tr>
  <tr><th>Cr i</th><td>9(7)</td><th>Ne ii</th><td>1(0)</td></tr>
  <tr><th>Cr ii</th><td>30(26)</td><th>Al i</th><td>2(2)</td></tr>
  <tr><th>Mn i</th><td>4(3)</td><th>Si i</th><td>2(0)</td></tr>
  <tr><th>Mn ii</th><td>9(8)</td><th>Si ii</th><td>4(3)</td></tr>
  <tr><th>Fe i</th><td>182(148)</td><th>Cl ii</th><td>1(0)</td></tr>
  <tr><th>Fe ii</th><td>45(35)</td><th>Ce ii</th><td>1(0)</td></tr>
  <tr><th>Co i</th><td>5(2)</td><th>Sr ii</th><td>2(2)</td></tr>
  <tr><th>Ni i</th><td>31(28)</td><th>Zr ii</th><td>3(2)</td></tr>
  <tr><th>Ni ii</th><td>5(5)</td><th>Y ii</th><td>2(0)</td></tr>
</table>
