<table>
  <caption>Idem Table LABEL:tab:altairmodels_m170 for M = 1.76 ⁢ \msol models.</caption>
  <tr><th></th><th>Ω</th><th></th><th>L/L _()</th><th>R/</th><th>g</th><th>Age</th><th>ν(_(0))</th><th>_(0)/_(1)</th><th>ν(_(0)^(d))</th><th>(_(0)/_(1))^(d)</th></tr>
  <tr><th>m _(41)</th><th>50</th><td>3.851</td><td>1.121</td><td>2.410</td><td>3.918</td><td>1200</td><td>124.959</td><td>0.773</td><td>124.943</td><td>0.772</td></tr>
  <tr><th>m _(42)</th><th>100</th><td>3.848</td><td>1.117</td><td>2.429</td><td>3.911</td><td>1192.5</td><td>123.249</td><td>0.776</td><td>122.984</td><td>0.771</td></tr>
  <tr><th>m _(43)</th><th>150</th><td>3.849</td><td>1.107</td><td>2.394</td><td>3.924</td><td>1144.2</td><td>125.873</td><td>0.782</td><td>124.407</td><td>0.756</td></tr>
  <tr><th>m _(44)</th><th>200</th><td>3.847</td><td>1.092</td><td>2.375</td><td>3.931</td><td>1039.0</td><td>126.768</td><td>0.793</td><td>131.618</td><td>0.874</td></tr>
  <tr><th>m _(45)</th><th>250</th><td>3.854</td><td>1.062</td><td>2.224</td><td>3.988</td><td>830.0</td><td>139.769</td><td>0.803</td><td>144.078</td><td>0.903</td></tr>
  <tr><th>m _(46)</th><th>50</th><td>3.859</td><td>1.113</td><td>2.306</td><td>3.957</td><td>1132.0</td><td>133.931</td><td>0.773</td><td>133.896</td><td>0.773</td></tr>
  <tr><th>m _(47)</th><th>100</th><td>3.859</td><td>1.106</td><td>2.285</td><td>3.965</td><td>1094.9</td><td>135.737</td><td>0.777</td><td>135.124</td><td>0.773</td></tr>
  <tr><th>m _(48)</th><th>150</th><td>3.860</td><td>1.094</td><td>2.238</td><td>3.983</td><td>1027.5</td><td>139.989</td><td>0.783</td><td>137.570</td><td>0.769</td></tr>
  <tr><th>m _(49)</th><th>200</th><td>3.857</td><td>1.083</td><td>2.248</td><td>3.979</td><td>959.0</td><td>138.644</td><td>0.791</td><td>133.851</td><td>0.736</td></tr>
  <tr><th>m _(50)</th><th>250</th><td>3.861</td><td>1.051</td><td>2.123</td><td>4.029</td><td>741.0</td><td>150.734</td><td>0.801</td><td>150.734</td><td>0.758</td></tr>
  <tr><th>m _(51)</th><th>50</th><td>3.870</td><td>1.100</td><td>2.161</td><td>4.013</td><td>1021.0</td><td>148.028</td><td>0.773</td><td>147.652</td><td>0.771</td></tr>
  <tr><th>m _(52)</th><th>100</th><td>3.868</td><td>1.095</td><td>2.165</td><td>4.012</td><td>999.0</td><td>147.557</td><td>0.777</td><td>146.313</td><td>0.770</td></tr>
  <tr><th>m _(53)</th><th>150</th><td>3.870</td><td>1.078</td><td>2.096</td><td>4.040</td><td>898.3</td><td>154.935</td><td>0.783</td><td>151.293</td><td>0.764</td></tr>
  <tr><th>m _(54)</th><th>200</th><td>3.865</td><td>1.066</td><td>2.123</td><td>4.029</td><td>829.0</td><td>151.476</td><td>0.792</td><td>145.163</td><td>0.759</td></tr>
  <tr><th>m _(55)</th><th>250</th><td>3.868</td><td>1.039</td><td>2.024</td><td>4.070</td><td>634.0</td><td>162.494</td><td>0.801</td><td>152.321</td><td>0.750</td></tr>
  <tr><th>m _(56)</th><th>50</th><td>3.879</td><td>1.085</td><td>2.031</td><td>4.067</td><td>899.4</td><td>162.756</td><td>0.773</td><td>162.782</td><td>0.773</td></tr>
  <tr><th>m _(57)</th><th>100</th><td>3.881</td><td>1.073</td><td>1.988</td><td>4.086</td><td>823.0</td><td>168.121</td><td>0.777</td><td>168.527</td><td>0.783</td></tr>
  <tr><th>m _(58)</th><th>150</th><td>3.880</td><td>1.060</td><td>1.968</td><td>4.095</td><td>755.7</td><td>170.675</td><td>0.783</td><td>172.777</td><td>0.808</td></tr>
  <tr><th>m _(59)</th><th>200</th><td>3.875</td><td>1.051</td><td>1.995</td><td>4.083</td><td>699.0</td><td>166.886</td><td>0.791</td><td>159.662</td><td>0.756</td></tr>
  <tr><th>m _(60)</th><th>250</th><td>3.873</td><td>1.021</td><td>1.944</td><td>4.105</td><td>509.0</td><td>172.969</td><td>0.802</td><td>161.557</td><td>0.749</td></tr>
</table>
