<table>
  <caption>Simulation parameters continued. In fourth column, ‘NP’ and ‘TI’ denote the nonperturbative and tree level tadpole improved values for ζ respectively. c PS , V are the speed of light obtained from the fit for the pseudoscalar ( S 0 1 ) and vector ( S 1 3 ) mesons.</caption>
  <tr><th>β</th><th>L^(3) \,×\,</th><th>T</th><th>a_(t)m_(q0)</th><th>\;\;\;</th><th>sweep/conf</th><th>#conf</th><th>c_(PS)</th><th>c_(V)</th></tr>
  <tr><td>5.70</td><td>8^(3) \,×\,</td><td>48</td><td>0.320</td><td>2.88 (NP)</td><td>100</td><td>1000</td><td>1.005(10)</td><td>1.008(11)</td></tr>
  <tr><td>5.70</td><td>8^(3) \,×\,</td><td>48</td><td>0.253</td><td>2.85 (NP)</td><td>100</td><td>1000</td><td>1.005(10)</td><td>1.008(11)</td></tr>
  <tr><td>5.70</td><td>8^(3) \,×\,</td><td>48</td><td>0.320</td><td>3.08 (TI)</td><td>100</td><td>1000</td><td>0.962(9)</td><td>0.965(10)</td></tr>
  <tr><td>5.70</td><td>8^(3) \,×\,</td><td>48</td><td>0.253</td><td>3.03 (TI)</td><td>100</td><td>1000</td><td>0.966(9)</td><td>0.969(10)</td></tr>
  <tr><td>5.90</td><td>12^(3) \,×\,</td><td>72</td><td>0.144</td><td>2.99 (NP/TI)</td><td>100</td><td>1000</td><td>0.991(8)</td><td>0.993(9)</td></tr>
  <tr><td>5.90</td><td>12^(3) \,×\,</td><td>72</td><td>0.090</td><td>2.93 (NP/TI)</td><td>100</td><td>1000</td><td>0.991(8)</td><td>0.994(9)</td></tr>
  <tr><td>6.10</td><td>16^(3) \,×\,</td><td>96</td><td>0.056</td><td>3.01 (NP)</td><td>200</td><td>600</td><td>0.997(9)</td><td>0.997(9)</td></tr>
  <tr><td>6.10</td><td>16^(3) \,×\,</td><td>96</td><td>0.024</td><td>2.96 (NP)</td><td>200</td><td>600</td><td>0.997(9)</td><td>0.997(9)</td></tr>
  <tr><td>6.10</td><td>16^(3) \,×\,</td><td>96</td><td>0.056</td><td>2.92 (TI)</td><td>200</td><td>600</td><td>1.017(9)</td><td>1.018(9)</td></tr>
  <tr><td>6.10</td><td>16^(3) \,×\,</td><td>96</td><td>0.024</td><td>2.88 (TI)</td><td>200</td><td>600</td><td>1.017(9)</td><td>1.016(10)</td></tr>
  <tr><td>6.35</td><td>24^(3) \,×\,</td><td>144</td><td>- 0.005</td><td>2.87 (NP/TI)</td><td>400</td><td>400</td><td>1.006(11)</td><td>1.011(11)</td></tr>
  <tr><td>6.35</td><td>24^(3) \,×\,</td><td>144</td><td>- 0.035</td><td>2.81 (NP/TI)</td><td>400</td><td>400</td><td>1.007(12)</td><td>1.009(11)</td></tr>
</table>
