<table>
  <caption>Complex refractive indices for pure SiC, applicable for either 3C ( β ) or 6H ( α ) E → ⊥ c → polarization (ordinary ray) ∗</caption>
  <tr><th>Wavenumber</th><th>n</th><th>k</th></tr>
  <tr><th>(cm ^((-1)) )</th><th></th><td></td></tr>
  <tr><td>4001.0</td><td>2.5501</td><td>6.0687 × 10^(-5)</td></tr>
  <tr><td>4051.0</td><td>2.5508</td><td>6.0591 × 10^(-5)</td></tr>
  <tr><td>4101.0</td><td>2.5515</td><td>6.0495 × 10^(-5)</td></tr>
  <tr><td>4151.0</td><td>2.5522</td><td>6.0400 × 10^(-5)</td></tr>
  <tr><td>4201.0</td><td>2.5529</td><td>6.0304 × 10^(-5)</td></tr>
  <tr><td>4251.0</td><td>2.5535</td><td>6.0209 × 10^(-5)</td></tr>
  <tr><td>4301.0</td><td>2.5542</td><td>6.0113 × 10^(-5)</td></tr>
  <tr><td>4351.0</td><td>2.5548</td><td>6.0017 × 10^(-5)</td></tr>
  <tr><td>4401.0</td><td>2.5553</td><td>5.9922 × 10^(-5)</td></tr>
  <tr><td>4451.0</td><td>2.5559</td><td>5.9826 × 10^(-5)</td></tr>
</table>
