<table>
  <caption>Selected Photometry from Other Observers</caption>
  <tr><th>UT Date</th><th>Mag.</th><th>Obs.</th><th>Reference</th></tr>
  <tr><th>2007 Oct 24.06682</th><td>8.4</td><td>J51</td><td></td></tr>
  <tr><th>2007 Oct 24.06708</th><td>8.5</td><td>J47</td><td></td></tr>
  <tr><th>2007 Oct 24.06750</th><td>8.6</td><td>J47</td><td></td></tr>
  <tr><th>2007 Oct 24.06791</th><td>8.6</td><td>J47</td><td></td></tr>
  <tr><th>2007 Oct 24.07</th><td>8.4</td><td>SPMN</td><td></td></tr>
  <tr><th>2007 Oct 24.07282</th><td>8.4</td><td>J51</td><td></td></tr>
  <tr><th>2007 Oct 24.07956</th><td>8.2</td><td>J51</td><td></td></tr>
  <tr><th>2007 Oct 24.09823</th><td>8.1</td><td>J47</td><td></td></tr>
  <tr><th>2007 Oct 24.09864</th><td>8.2</td><td>J47</td><td></td></tr>
  <tr><th>2007 Oct 24.09943</th><td>8.2</td><td>J47</td><td></td></tr>
  <tr><th>2007 Oct 24.10007</th><td>8.0</td><td>J51</td><td></td></tr>
  <tr><th>2007 Oct 24.10994</th><td>7.8</td><td>J51</td><td></td></tr>
  <tr><th>2007 Oct 24.11126</th><td>8.1</td><td>J47</td><td></td></tr>
  <tr><th>2007 Oct 24.11166</th><td>8.1</td><td>J47</td><td></td></tr>
  <tr><th>2007 Oct 24.11205</th><td>8.1</td><td>J47</td><td></td></tr>
  <tr><th>2007 Oct 24.11735</th><td>7.7</td><td>J51</td><td></td></tr>
  <tr><th>2007 Oct 24.12</th><td>7.8</td><td>SPMN</td><td></td></tr>
  <tr><th>2007 Oct 24.12398</th><td>7.5</td><td>J51</td><td></td></tr>
  <tr><th>2007 Oct 24.12680</th><td>8.0</td><td>J47</td><td></td></tr>
  <tr><th>2007 Oct 24.12719</th><td>8.0</td><td>J47</td><td></td></tr>
  <tr><th>2007 Oct 24.13131</th><td>7.4</td><td>J51</td><td></td></tr>
  <tr><th>2007 Oct 24.13619</th><td>7.3</td><td>J51</td><td></td></tr>
  <tr><th>2007 Oct 24.15</th><td>7.4</td><td>SPMN</td><td></td></tr>
  <tr><th>2007 Oct 24.18</th><td>7.0</td><td>SPMN</td><td></td></tr>
  <tr><th>2007 Oct 24.20</th><td>6.7</td><td>SPMN</td><td></td></tr>
  <tr><th>2007 Oct 24.21</th><td>6.5</td><td>SPMN</td><td></td></tr>
  <tr><th>2007 Oct 24.22</th><td>6.3</td><td>SPMN</td><td></td></tr>
  <tr><th>2007 Oct 24.23</th><td>6.0</td><td>SPMN</td><td></td></tr>
</table>
